code,original_price,discount_price,discount_percent,title
E2335,248,161.2,35,Milano Formals E2335 Dress
E2336,198,128.7,35,Milano Formals E2336 Dress
E2350,248,161.2,35,Milano Formals E2350 Dress
E2356,198,128.7,35,Milano Formals E2356 Dress
E2357,198,128.7,35,Milano Formals E2357 Dress
E2360,198,128.7,35,Milano Formals E2360 Dress
E2361,198,128.7,35,Milano Formals E2361 Dress
E2366,198,128.7,35,Milano Formals E2366 Dress
E2376,248,161.2,35,Milano Formals E2376 Dress
E2378,298,193.7,35,Milano Formals E2378 Dress
E2379,298,193.7,35,Milano Formals E2379 Dress
E2385,198,128.7,35,Milano Formals E2385 Dress
E2388,298,193.7,35,Milano Formals E2388 Dress
E2395,298,193.7,35,Milano Formals E2395 Dress
E2398,248,161.2,35,Milano Formals E2398 Dress
E2403,248,161.2,35,Milano Formals E2403 Dress
E2410,248,161.2,35,Milano Formals E2410 Dress
E2427,248,161.2,35,Milano Formals E2427 Dress
E2428,248,161.2,35,Milano Formals E2428 Dress
E2431,248,161.2,35,Milano Formals E2431 Dress
E2432,248,161.2,35,Milano Formals E2432 Dress
E2433,198,128.7,35,Milano Formals E2433 Dress
E2434,198,128.7,35,Milano Formals E2434 Dress
E2442,198,128.7,35,Milano Formals E2442 Dress
E2460,263,170.95,35,Milano Formals E2460 Dress
