product link,title,Discounted price,Original price,code
https://www.lookmazing.com/milano-formals-e1940-illusion-halter-two-piece-gown-in-gun-metal/products/17847305,MILANO FORMALS - E1940 ILLUSION HALTER TWO-PIECE GOWN IN GUN METAL,89.0,298.0,E1940
https://www.lookmazing.com/milano-formals-strapless-pleated-bodice-corset-long-dress-e1420/products/15828863,MILANO FORMALS - STRAPLESS PLEATED BODICE CORSET LONG DRESS E1420,,118.0,E1420
https://www.lookmazing.com/milano-formals-sleeveless-sweetheart-neckline-with-one-shoulder-strap-gown-e1502/products/15828866,MILANO FORMALS - SLEEVELESS SWEETHEART NECKLINE WITH ONE SHOULDER STRAP GOWN E1502,,118.0,E1502
https://www.lookmazing.com/milano-formals-strapless-sweetheart-long-gown-with-vertical-ruched-bust-e1696/products/15828890,MILANO FORMALS - STRAPLESS SWEETHEART LONG GOWN WITH VERTICAL RUCHED BUST E1696,,118.0,E1696
https://www.lookmazing.com/milano-formals-strapless-pleated-bodice-corset-long-dress-e1421/products/19426182,MILANO FORMALS - STRAPLESS PLEATED BODICE CORSET LONG DRESS E1421,,118.0,E1421
https://www.lookmazing.com/milano-formals-strapless-sweetheart-ruched-bodice-a-line-chiffon-long-gown-e1582/products/15828881,MILANO FORMALS - STRAPLESS SWEETHEART RUCHED BODICE A-LINE CHIFFON LONG GOWN E1582,,118.0,E1582
https://www.lookmazing.com/milano-formals-e1452-homecoming-dress/products/15695035,MILANO FORMALS - E1452 HOMECOMING DRESS,,118.0,E1452
https://www.lookmazing.com/milano-formals-one-shoulder-shirred-chiffon-goddess-long-dress-e1420/products/15828861,MILANO FORMALS - ONE SHOULDER SHIRRED CHIFFON GODDESS LONG DRESS E1420,,118.0,E1420
https://www.lookmazing.com/milano-formals-e1436-bridesmaid-dress/products/15679288,MILANO FORMALS - E1436 BRIDESMAID DRESS,,120.0,E1436
https://www.lookmazing.com/milano-formals-strapless-sweetheart-laced-short-dress-e2076/products/15828950,MILANO FORMALS - STRAPLESS SWEETHEART LACED SHORT DRESS E2076,,128.0,E2076
https://www.lookmazing.com/milano-formals-ruched-fitted-cocktail-dress-e2081/products/15829133,MILANO FORMALS - RUCHED FITTED COCKTAIL DRESS E2081,,128.0,E2081
https://www.lookmazing.com/milano-formals-one-shoulder-asymmetrical-ruched-chiffon-bodice-long-gown-e1729/products/15828892,MILANO FORMALS - ONE SHOULDER ASYMMETRICAL RUCHED CHIFFON BODICE LONG GOWN E1729,,138.0,E1729
https://www.lookmazing.com/milano-formals-e2231-floral-print-a-line-party-dress/products/17437227,MILANO FORMALS - E2231 FLORAL PRINT A-LINE PARTY DRESS,,138.0,E2231
https://www.lookmazing.com/milano-formals-elegant-scoop-neck-a-line-dress-e1827/products/15828907,MILANO FORMALS - ELEGANT SCOOP NECK A-LINE DRESS E1827,,138.0,E1827
https://www.lookmazing.com/milano-formals-e2282-two-piece-printed-party-dress/products/17437218,MILANO FORMALS - E2282 TWO-PIECE PRINTED PARTY DRESS,,148.0,E2282
https://www.lookmazing.com/milano-formals-lace-mesh-sleeved-gown-dress-e2084/products/15829142,MILANO FORMALS - LACE MESH Â¾ SLEEVED GOWN DRESS E2084,,148.0,E2084
https://www.lookmazing.com/milano-formals-floral-mikado-cocktail-dress-e2028/products/15829029,MILANO FORMALS - FLORAL MIKADO COCKTAIL DRESS E2028,,148.0,E2028
https://www.lookmazing.com/milano-formals-three-quarter-sleeves-illusion-satin-cocktail-dress-e2088/products/15855695,MILANO FORMALS - THREE-QUARTER SLEEVES ILLUSION SATIN COCKTAIL DRESS E2088,,148.0,E2088
https://www.lookmazing.com/milano-formals-e2281-two-piece-strapless-party-dress/products/17437216,MILANO FORMALS - E2281 TWO-PIECE STRAPLESS PARTY DRESS,,148.0,E2281
https://www.lookmazing.com/milano-formals-e2225-sleeveless-v-neck-bare-midriff-cocktail-dress/products/18941760,MILANO FORMALS - E2225 SLEEVELESS V-NECK BARE MIDRIFF COCKTAIL DRESS,,148.0,E2225
https://www.lookmazing.com/milano-formals-sleeveless-scoop-neck-beaded-cocktail-dress-e2040/products/15829062,MILANO FORMALS - SLEEVELESS SCOOP NECK BEADED COCKTAIL DRESS E2040,,148.0,E2040
https://www.lookmazing.com/milano-formals-e2243-printed-deep-v-neck-a-line-dress/products/17423441,MILANO FORMALS - E2243 PRINTED DEEP V-NECK A-LINE DRESS,,148.0,E2243
https://www.lookmazing.com/milano-formals-e1940-two-piece-embellished-a-line-gown/products/17507542,MILANO FORMALS - E1940 TWO-PIECE EMBELLISHED A-LINE GOWN,209.0,298.0,E1940
https://www.lookmazing.com/milano-formals-e1412-bridesmaid-dress/products/15679286,MILANO FORMALS - E1412 BRIDESMAID DRESS,,150.0,E1412
