CODE,COLOR,PHOTO,COUNT,NOT IN INVENTORY
BD2006/66,BLACK,NO,0,
BD2006/741,,NO,0,
BD2006/792,WINE,NO,0,
BD2007/09,,NO,0,
BD2007/10,BEIGE,NO,0,
BD2007/10,GOLD,NO,0,
BD2007/101,,NO,0,
BD2007/182,,NO,0,
BD2007/183,BLACK-GREY,NO,0,
BD2007/417,,NO,0,
E1013,SUNSHINE,NO,0,
E1013,SANGRIA,YES,3,
E1013,TRUFFLE,NO,0,
E1013,LILAC,YES,2,
E1013,FUCHSIA,NO,0,
E1013,CLARET,NO,0,
E1013,PINK,NO,0,
E1018,ORANGE,NO,0,
E1022,PURPLE,YES,1,
E1022,SUNSHINE,NO,0,
E1022,SUNRISE,NO,0,
E1024,LILAC,NO,0,
E1024,BANANA,NO,0,
E1024,MINT,NO,0,
E1024,PERSIMMON,NO,0,
E1024,TRUFFLE,NO,0,
E1025,NAVY,NO,0,
E1028,WHITE,YES,4,
E1032,BLACK,YES,4,
E1032,PISTACHIO,YES,4,
E1032,SUNSHINE,YES,3,
E1044,DARKCELADON,NO,0,
E1064,MINT,NO,0,
E1064,CHARCOAL,NO,0,
E1065,PURPLE,NO,0,
E1068,BURGUNDY,NO,0,
E1068,KIWI,NO,0,
E1068,VICTORIA-LILAC,NO,0,
E1071,TRUFFLE,YES,1,
E1071,PEACH-FIZZ,NO,0,
E1089,PEACH,NO,0,
E1089,CORAL,NO,0,
E1089,SUNSHINE,NO,0,
E1118,LILAC,YES,5,
E1118,CORAL,YES,2,
E1118,PURPLE,NO,0,
E1119,CHAMPAGNE,NO,0,
E1119,VICTORIA-LILAC,NO,0,
E1119,BURGUNDY,NO,0,
E1127,TRUFFLE,NO,0,
E1127,DARK-PINK,NO,0,
E1168,LILAC,NO,0,
E1168,TRUFFLE,NO,0,
E1168,SAGE,NO,0,
E1168,BURGUNDY,NO,0,
E1168,TEAL,NO,0,
E1168,VICTORIA-LILAC,NO,0,
E1168,RED,NO,0,
E1168,NAVY,YES,2,
E1194,FUCHSIA,NO,0,
E1194,TEAL,NO,0,
E1194,SKY-BLUE,NO,0,
E1194,WHITE,NO,0,
E1194,SKYBLUE,NO,0,
E1194,FUSCHIA,NO,0,
E1250,CORAL,NO,0,
E1259,SKY-BLUE,NO,0,
E1259,PINK,NO,0,
E1259,WHITE,NO,0,
E1259,GOLD,NO,0,
E1260,JADE,NO,0,
E1260,TRUFFLE,YES,1,
E1260,SKY-BLUE,NO,0,
E1260,CLARET,YES,2,
E1260,PINK,NO,0,
E1260,PURPLE,NO,0,
E1264,BLACK,YES,2,
E1264,CLARET,YES,6,
E1264,CORAL,YES,3,
E1264,TEAL,YES,3,
E1264,NAVY,YES,3,
E1264,LILAC,YES,5,
E1264,SILVER,NO,0,
E1264,ORANGE,NO,0,
E1264,SAGE,NO,0,
E1264,VICTORIA-LILAC,NO,0,
E1265,GREEN,YES,1,
E1265,BLUE,NO,0,
E1265,COFFEE,NO,0,
E1270,FUCHSIA,NO,0,
E1270,TEAL,YES,1,
E1270,POOL,NO,0,
E1270,CORAL,YES,3,
E1270,LILAC,NO,0,
E1270,PEACH,NO,0,
E1275,DARK-LILAC,YES,1,
E1278,GREY,NO,0,
E1285,LILAC,YES,2,
E1285,FUCHSIA,NO,0,
E1285,SAGE,YES,3,
E1285,CAFE,YES,2,
E1285,PURPLE,YES,3,
E1285,PINK,YES,2,
E1294,TEAL,NO,0,
E1295,TEAL,NO,0,
E1295,TRUFFLE,NO,0,
E1295,FUCHSIA,NO,0,
E1295,SAGE,NO,0,
E1295,WATERMELON,NO,0,
E1295,POOL,NO,0,
E1303,GREY,NO,0,
E1312,SUNSHINE,YES,3,
E1312,CLARET,NO,0,
E1312,SANGRIA,NO,0,
E1312,SILVER,NO,0,
E1319,PURPLE,NO,0,
E1319,WHITE-BLACK,YES,1,
E1322,PURPLE,YES,1,
E1326,NAVY,NO,0,
E1327,BLACK,YES,1,
E1333,TEAL,NO,0,
E1334,FUCHSIA,NO,0,
E1336,PURPLE,YES,1,
E1336,LILAC,NO,0,
E1340,PURPLE,NO,0,
E1340,APPLE-RED,NO,0,
E1340,POOL,NO,0,
E1340,WHITE,NO,0,
E1340,BLACK,NO,0,
E1340,CORAL,YES,1,
E1340,RED,NO,0,
E1342,FUCHSIA,NO,0,
E1344,YELLOW,YES,1,
E1347,BLUE,YES,1,
E1348,PLATINUM,YES,1,
E1354,LILAC,YES,1,
E1356,TRUFFLE,YES,1,
E1356,CORAL,NO,0,
E1356,SKY-BLUE,NO,0,
E1371,APPLERED-WHITE,YES,4,
E1371,SAGE,NO,0,
E1371,TRUFFLE-WHITE,YES,2,
E1378,RED,YES,1,
E1379,TRUFFLE,YES,2,
E1379,PEACOCK,YES,2,
E1379,CORAL,YES,2,
E1379,NAVY,NO,0,
E1379,WATERMELON,YES,4,
E1379,TEAL,YES,2,
E1379,SAGE,NO,0,
E1381,PURPLE,YES,1,
E1385,RED,NO,0,
E1386,PLUM,YES,3,
E1386,LILAC,YES,2,
E1387,PINK,NO,0,
E1387,TURQUOISE,NO,0,
E1387,GREEN,NO,0,
E1391,PURPLE,YES,2,
E1391,CLARET,NO,0,
E1391,ROYAL,YES,3,
E1396,PURPLE,YES,1,
E1412,BROWN,NO,0,
E1412,ROYAL,NO,0,
E1412,BLACK,NO,0,
E1420,PURPLE,NO,0,
E1420,ROYAL,NO,0,
E1420,CHAMPAGNE,YES,1,
E1420,SEA-BLACK,NO,0,
E1421,CORAL,YES,2,
E1421,GREY,YES,2,
E1421,SILVER,NO,0,
E1421,ROYAL,YES,3,
E1422,PURPLE,YES,1,
E1424,TEAL,YES,1,
E1428,PURPLE,YES,1,
E1436,VICTORIA,YES,5,
E1436,POOL,YES,3,
E1438,BLACK,YES,1,
E1439,TEAL,YES,3,
E1439,EMERALD,YES,3,
E1439,GREY,NO,0,
E1442,BLACK,NO,0,
E1448,PURPLE-BLACK,YES,1,
E1449,SILVER,NO,0,
E1452,PURPLE,NO,0,
E1463,TEAL,YES,2,
E1463,CORAL,YES,2,
E1463,TRUFFLE,YES,2,
E1465,PURPLE,NO,0,
E1467,GOLD,YES,3,
E1470,PEACH,NO,0,
E1470,GOLD,NO,0,
E1472,ROYAL,YES,1,
E1497,PURPLE,NO,0,
E1502,NAVY,NO,0,
E1502,CLARET,YES,1,
E1502,IVORY,NO,0,
E1502,RED,NO,0,
E1502,POOL,NO,0,
E1503,SKY-BLUE,NO,0,
E1503,SKYBLUE,NO,0,
E1507,WATERMELON,NO,0,
E1508,NUDE,YES,1,
E1510,WHITE,YES,1,
E1510,WHITE-BLUE,YES,5,
E1520,SANGRIA,YES,5,
E1520,BURNT-ORANGE,YES,2,
E1531,CORAL,NO,0,
E1531,POOL,NO,0,
E1531,PURPLE,YES,1,
E1531,BLACK,NO,0,
E1537,BLACK,NO,0,
E1538,SAGE,NO,0,
E1540,BLUE-PINK,NO,0,
E1540,BLUEPINK,NO,0,
E1544,BLACK,YES,3,
E1544,RED,YES,4,
E1546,BLACK,YES,2,
E1546,PURPLE,YES,5,
E1546,CORAL,YES,1,
E1546,PEACH,NO,0,
E1546,PINK,NO,0,
E1552,BLACK,NO,0,
E1573,BLACK,YES,1,
E1573,PURPLE,YES,2,
E1573,PEACH,YES,4,
E1573,CORAL,NO,0,
E1573,BURGUNDY,NO,0,
E1573,SKY-BLUE,NO,0,
E1573,ROYAL,NO,0,
E1573,TEAL,NO,0,
E1579,WHITE,YES,1,
E1581,RED,YES,1,
E1581,BLACK,YES,4,
E1581,PURPLE,YES,2,
E1581,CLARET,NO,0,
E1582,FUCHSIA,NO,0,
E1582,GREEN,NO,0,
E1582,TEAL,NO,0,
E1582,PURPLE,YES,3,
E1582,BURGUNDY,NO,0,
E1593,POOL,NO,0,
E1596,PURPLE,YES,5,
E1597,POOL,NO,0,
E1605,PURPLE,NO,0,
E1636,BLACK,NO,0,
E1637,BLACK,YES,2,
E1637,BLACK-NUDE,YES,2,
E1657,BLACK,YES,1,
E1657,TEAL,NO,0,
E1657,LAVENDER,NO,0,
E1663,FUCHSIA,YES,1,
E1663,NAVY,YES,3,
E1663,PURPLE,YES,5,
E1672,SKY-BLUE,NO,0,
E1672,ROYAL,YES,3,
E1676,BLUE-PINK,NO,0,
E1676,BLUE-FUCHSIA,NO,0,
E1683,WHITE,NO,0,
E1685,FUCHSIA,YES,1,
E1694,TEAL,YES,1,
E1696,BLACK,YES,3,
E1696,TEAL,NO,0,
E1696,CORAL,NO,0,
E1696,ROYAL,NO,0,
E1696,RED,NO,0,
E1696,BLUE-PINK,NO,0,
E1715,SKY-BLUE,YES,3,
E1716,PURPLE,NO,0,
E1729,IVORY,NO,0,
E1729,MINT,YES,4,
E1729,FUCHSIA,NO,0,
E1729,PRINT,NO,0,
E1729,PINK,NO,0,
E1729,BANANA,NO,0,
E1730,CHARCOAL,YES,3,
E1730,BURNT-ORANGE,YES,1,
E1730,BLUE,NO,0,
E1730,ROYAL,YES,2,
E1745,TURQUOISE-GREEN,NO,0,
E1745,TURQUOISE,NO,0,
E1761,RED,NO,0,
E1762,PURPLE,NO,0,
E1767,BLACK,NO,0,
E1767,BLACK-SILVER,YES,1,
E1774,POWDER-BLUE,YES,3,
E1778,NAVY,YES,2,
E1795,NAVY,YES,4,
E1795,BISCOTTI,NO,0,
E1795,IVORY,NO,0,
E1796,BLACK,NO,0,
E1796,BISCOTTI,YES,4,
E1796,IVORY,YES,1,
E1796,NAVY,YES,2,
E1796,LAVENDER,NO,0,
E1799,FUCHSIA,NO,0,
E1799,GREEN,NO,0,
E1799,TEAL,NO,0,
E1799,GREY,NO,0,
E1799,LILAC,NO,0,
E1809,ORANGE,NO,0,
E1822,IVORY,YES,5,
E1822,PEACH,YES,2,
E1824,POOL,YES,3,
E1827,BLACK,YES,3,
E1831,RED,NO,0,
E1833,PURPLE-GOLD,YES,1,
E1838,TEAL,YES,4,
E1838,BLACK,NO,0,
E1844,MINT,YES,7,
E1849,BLACK,NO,0,
E1852,BURGUNDY,NO,0,
E1852,PINK,YES,2,
E1852,CHARCOAL,YES,2,
E1852,RED,NO,0,
E1852,FUCHSIA,NO,0,
E1861,RED,NO,0,
E1868,CHAMPAGNE,YES,1,
E1875,BLACK,NO,0,
E1877,NAVY,NO,0,
E1879,PURPLE,NO,0,
E1882,ROYAL,YES,1,
E1885,NAVY,NO,0,
E1890,BLACK,YES,1,
E1891,PURPLE,YES,4,
E1892,Nudenavy,NO,0,
E1892,NAVY-NUDE,NO,0,
E1892,NUDE-NAVY,NO,0,
E1893,BLACK,NO,0,
E1895,BLACK,NO,0,
E1904,BLACK,NO,0,
E1907,CHARCOAL,YES,1,
E1908,SKY-BLUE,NO,0,
E1908,GREY,NO,0,
E1909,GREY,NO,0,
E1911,NAVY,YES,4,
E1918,GREEN,NO,0,
E1918,BOTTLE-GREEN,NO,0,
E1923,NAVY,YES,3,
E1930,BLACK,NO,0,
E1931,NAVY,YES,1,
E1937,BLACK,YES,1,
E1939,TEAL,NO,0,
E1940,GUNMETAL,YES,6,
E1942,ROYAL,NO,0,
E1946,NAVY,NO,0,
E1947,ROYAL,NO,0,
E1948,BLACK,NO,0,
E1950,BLACK,NO,0,
E1954,PLUM,NO,0,
E1965,SANGRIA,YES,1,
E1967,TEAL,YES,2,
E1968,BLACK,NO,0,
E1974,MINT,YES,1,
E1978,GUNMETAL,YES,4,
E1979,MIDNIGHT,YES,3,
E1981,BLACK,YES,1,
E1981,ROYAL,NO,0,
E1982,CHARCOAL,YES,1,
E1983,MINT,YES,1,
E1984,,NO,0,
E1986,POOL-WHITE,NO,0,
E1986,POOL,NO,0,
E1988,ROYAL-BLUE,YES,3,
E1988,ROYAL,NO,0,
E2016,ROYAL,YES,4,
E2016,RED,YES,1,
E2018,GREEN,NO,0,
E2018,PEACOCK,NO,0,
E2018,PEACOCK-GREEN,NO,0,
E2019,BLUE,YES,1,
E2020,POOL,YES,1,
E2021,WINE,YES,1,
E2023,TURQUOISE,YES,5,
E2023,TIFFANY,NO,0,
E2025,WINE,YES,4,
E2027,WINE,YES,1,
E2028,BLACK,NO,0,
E2028,JET-COBALT,YES,5,
E2030,FUCHSIA,YES,1,
E2031,BLACK,YES,2,
E2032,TEAL,YES,3,
E2034,BERRY,YES,1,
E2035,BLACK-GUNMETAL,NO,0,
E2035,JET,YES,1,
E2036,GREEN,YES,6,
E2036,EMERALD,NO,0,
E2039,POWDER-BLUE,YES,1,
E2040,MIDNIGHT,YES,1,
E2041,IVORY,YES,6,
E2042,WINE,YES,1,
E2042,BURGUNDY,NO,0,
E2043,ROSE-QUARTZ,YES,4,
E2043,CORAL,NO,0,
E2046,NAVY,YES,4,
E2046,ROSE,YES,1,
E2046,WHITE,NO,0,
E2049,PLATINUM,YES,6,
E2050,BLUE-BLACK,YES,7,
E2053,NAVY,NO,0,
E2053,TEAL,YES,2,
E2053,PEACOCK,YES,3,
E2057,BLUSH,NO,0,
E2059,ROYAL,YES,1,
E2060,MIDNIGHT,YES,3,
E2061,BLACK,YES,2,
E2067,BLACK-BURGUNDY,YES,1,
E2068,MIDNIGHT,YES,1,
E2068,FLORAL-PRINT,NO,0,
E2069,RED,YES,1,
E2070,APRICOT,YES,4,
E2070,PEACH,NO,0,
E2072,BLACK,YES,1,
E2073,BLUE,NO,0,
E2074,NAVY,NO,0,
E2075,MIDNIGHT,YES,1,
E2076,MIDNIGHT,YES,1,
E2076,NAVY,NO,0,
E2076,WINE,NO,0,
E2078,BURGUNDY,NO,0,
E2080,BLACK,YES,5,
E2080,COBALT,NO,0,
E2081,NAVY,YES,1,
E2082,BLACK,NO,0,
E2084,BLACK,YES,4,
E2085,CHARCOAL,YES,2,
E2086,BROWN,NO,0,
E2086,BURGUNDY,NO,0,
E2086,WINE,YES,2,
E2087,DIRTY-ROSE,NO,0,
E2087,ROSE-QUARTZ,YES,1,
E2087,ROSE,NO,0,
E2088,BLACK,NO,0,
E2088,WINE,YES,2,
E2088,BURGUNDY,NO,0,
E2088,WHITE,NO,0,
E2088,DUSTY-ROSE,NO,0,
E2096,WHITE-BLACK,YES,3,
E2097,MINT,YES,2,
E2100,MIDNIGHT,YES,1,
E2101,WINE,YES,1,
E2102,BLACK,YES,2,
E2104,BLACK,YES,2,
E2106,SKY-BLUE,NO,0,
E2106,BABY-BLUE,NO,0,
E2106,SKYBLUE,NO,0,
E2107,LAVENDER,NO,0,
E2107,NAVY,YES,1,
E2109,RED,YES,1,
E2110,BLACK,YES,5,
E2111,MINT,NO,0,
E2114,ROYAL-BLUE,YES,1,
E2114,ROYAL,NO,0,
E2118,FUCHSIA,NO,0,
E2121,MIDNIGHT,YES,1,
E2125,NAVY,YES,1,
E2126,BLACK,NO,0,
E2128,CHAMPAGNE,NO,0,
E2136,BLACK,NO,0,
E2136,NAVY,YES,2,
E2144,MINT,YES,1,
E2150,BLACK,YES,2,
E2152,RED,YES,1,
E2158,GOLD,YES,1,
E2158,IVORY,YES,1,
E2158,SILVER,NO,0,
E2160,SKY-BLUE,NO,0,
E2160,FUCHSIA,NO,0,
E2160,WHITE-PRINT,YES,1,
E2160,ROYAL,NO,0,
E2161,RED,YES,1,
E2162,RAINBOW,YES,1,
E2165,FUCHSIA,YES,1,
E2171,SKY-BLUE,YES,1,
E2171,LIGHT-BLUE,NO,0,
E2171,LIGHTBLUE,NO,0,
E2171,BLUE,NO,0,
E2180,WINE,NO,0,
E2182,NAVY,YES,1,
E2196,RED,NO,0,
E2204,BLACK,YES,2,
E2210,SILVER,YES,2,
E2213,NAVY,YES,6,
E2225,BLACK-GREEN,YES,9,
E2225,BLACK,NO,0,
E2227,FUCHSIA,NO,0,
E2229,IVORY,YES,3,
E2231,BLUE,YES,3,
E2233,WHITE,NO,0,
E2233,GOLD,YES,1,
E2241,IVORY,YES,2,
E2241,BLACK,YES,2,
E2243,RED-BLACK,NO,0,
E2243,BLACK-RED,YES,4,
E2244,BLACK,YES,2,
E2245,BLACK-GREEN,YES,2,
E2251,CHARCOAL,NO,0,
E2251,RED,NO,0,
E2252,PURPLE,YES,3,
E2253,RED,YES,5,
E2253,RED-,NO,0,
E2253,PRINT,NO,0,
E2254,NAVY,YES,2,
E2255,FUCHSIA,NO,0,
E2256,ROYAL,YES,2,
E2256,BLACK,NO,0,
E2257,WINE,NO,0,
E2258,CHARCOAL,YES,3,
E2259,WINE,YES,4,
E2262,BLACK,YES,3,
E2267,ROYAL-BLUE,YES,4,
E2269,NUDE,YES,3,
E2275,ROYAL,YES,1,
E2276,GOLD,YES,3,
E2279,BURGUNDY,YES,2,
E2280,PINK,YES,4,
E2281,PURPLE,YES,3,
E2282,YELLOW,YES,2,
E2287,CORAL,YES,2,
E2289,LAVENDER,NO,0,
E2289,PURPLE,NO,0,
E2291,BLACK-GOLD,YES,2,
E2292,RED,YES,2,
E2296,GREEN-PURPLE,YES,2,
E2301,GREY,NO,0,
E2317,NAVY,YES,1,
E2318,BLUE,YES,2,
E2320,MULTI,YES,3,
E2322,BLUSH,YES,1,
E2322,TEAL,YES,2,
E2322,PEAL,NO,0,
E2324,PINK,YES,3,
E2326,BLACK-RED,YES,2,
E2327,BLACK-RED,YES,2,
E2328,BLACK,YES,2,
E2329,BLACK,YES,2,
E2331,RED,YES,2,
E2333,NAVY,YES,2,
E2334,PRINT,YES,2,
E2335,ROYAL,YES,4,
E2336,ROSE,YES,2,
E2340,ROSE,YES,1,
E2344,BLACK-NUDE,YES,1,
E2346,GOLD,YES,2,
E2356,BLACK-PRINT,YES,2,
E2360,PURPLE-PRINT,YES,3,
E2366,BLACK-GOLD,YES,1,
E2385,BLACK-GOLD,YES,3,
E2388,BLACK-GREEN,YES,5,
E2389,PURPLE,YES,1,
E2394,IVORY-PRINT,YES,1,
E2395,RED,YES,2,
E24,,NO,0,
E24,POOL,NO,0,
E2400,NUDE-IVORY,NO,0,
E2403,SILVER,YES,4,
E2403,BLACK,NO,0,
E2405,BLACK,YES,1,
E2410,MUD,NO,0,
E2410,NUDE-IVORY,YES,3,
E2426,NAVY,YES,1,
E2428,NAVY,YES,1,
E2430,WHITE-BLUE,YES,2,
E2430,WHITE,NO,0,
E2430,WHITE-BLACK,NO,0,
E2431,RED,YES,4,
E2433,BLACK-PRINT,YES,2,
E2434,RED-PRINT,YES,3,
E2436,BLACK-PRINT,YES,2,
E2436,BROWN,NO,0,
E2437,NAVY-PRINT,YES,1,
E2448,APRICOT,YES,2,
E2449,GREEN,YES,1,
E2449,IVORY,NO,0,
E2460,BLACK,YES,4,
E2493,LAVENDER,YES,1,
E2493,PEACH,NO,0,
E2493,AQUA,NO,0,
E2494,PINK,NO,0,
E2494,SANGRIA,NO,0,
E2495,PINK,NO,0,
E2495,SKY-BLUE,NO,0,
E2495,SKYBLUE,NO,0,
E2496,PEACH,NO,0,
E2496,SKY-BLUE,NO,0,
E2496,SKYBLUE,NO,0,
E2497,MINT,NO,0,
E2497,BLUSH,NO,0,
E2498,BLUSH,NO,0,
E2498,BLUE,YES,1,
E2498,TEAL,NO,0,
E2500,BLUSH,YES,1,
E2501,BLUSH,NO,0,
E2501,LAVENDER,NO,0,
E2501,MINT,NO,0,
E2503,SKY-BLUE,NO,0,
E2503,SKYBLUE,NO,0,
E2509,BURGUNDY,NO,0,
E2509,RED,YES,1,
E2510,IVORY,YES,4,
E2511,BLUE,YES,1,
E2511,NAVY,NO,0,
E2513,RED,YES,1,
E2514,EMERALD,YES,1,
E2514,CLARET,NO,0,
E2514,IVORY,NO,0,
E2517,CHAMPAGNE,YES,1,
E2520,AQUA,NO,0,
E2524,MAUVE,NO,0,
E2526,GREEN,YES,1,
E2527,BLACK,YES,1,
E2531,ROYAL-BLUE,NO,0,
E2531,ROYAL,YES,1,
E2532,PRINT,YES,1,
E2534,BLUE,NO,0,
E2535,BURGUNDY,YES,1,
E2537,IVORY,YES,2,
E2540,TEAL,YES,1,
E2542,CHERRY,NO,0,
E2543,BLACK,YES,1,
E2544,RED,YES,1,
E2545,GREEN,YES,1,
E2547,ROYAL,YES,1,
E2547,ROYAL-BLUE,NO,0,
E2547,BLACK,NO,0,
E2549,BLACK-GREEN,YES,1,
E2550,RED,YES,1,
E2551,RED,YES,1,
E2553,RED,YES,1,
E2554,GOLD,YES,1,
E2557,NAVY,NO,0,
E2560,NAVY,YES,5,
E2568,AQUA,YES,1,
E2570,BURGUNDY,YES,1,
E2570,SKY-BLUE,NO,0,
E2572,BLACK,YES,1,
E2574,BLACK,YES,1,
E2578,BLACK,NO,0,
E2589,BLACK,YES,1,
E2590,ROSE,YES,1,
E2593,NAVY,YES,1,
E2599,RED,NO,0,
E2600,RED,YES,4,
E2600,ROYAL,NO,0,
E2601,EMERALD,YES,3,
E2601,NAVY,NO,0,
E2602,MINT,YES,3,
E2602,BLACK,YES,3,
E2605,MINT,NO,0,
E2610,CHAMPAGNE,NO,0,
E2613,MAUVE,YES,1,
E2614,NAVY,YES,1,
E2615,CLARET,YES,1,
E2701,ROSE,YES,1,
E2705,GOLD,YES,1,
E2708,NAVY,YES,1,
E2708,BLACK,NO,0,
E2708,BLACK-PRINT,NO,0,
E2717,CHAMPAGNE,NO,0,
E2752,GREEN,YES,1,
E2753,TURQUOISE,YES,1,
E2753,SKY-BLUE,NO,0,
E2754,NAVY,YES,1,
E2755,PEACH,NO,0,
E2764,ROYAL,YES,1,
E2767,WINE,YES,1,
E2768,NAVY,YES,1,
