Handle,Color,Size,Brand,Quantity,Price_x,Code,Price_y,Description,Photo,Unnamed: 5
NV7400,RED,4,MILANO FORMALS,8,249.0,E2599,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.,,
NV7400,RED,6,MILANO FORMALS,5,249.0,E2599,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.,,
NV7400,RED,8,MILANO FORMALS,8,249.0,E2599,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.,,
NV7400,RED,10,MILANO FORMALS,3,249.0,E2599,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.,,
NV7400,RED,14,MILANO FORMALS,6,249.0,E2599,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.,,
NV7400,RED,18,MILANO FORMALS,2,249.0,E2599,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.,,
NV7439,NAVY,0,MILANO FORMALS,1,249.0,E2560,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,
NV7439,NAVY,2,MILANO FORMALS,2,249.0,E2560,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,
NV7439,NAVY,4,MILANO FORMALS,1,249.0,E2560,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,
NV7439,NAVY,6,MILANO FORMALS,5,249.0,E2560,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,
NV7439,NAVY,10,MILANO FORMALS,8,249.0,E2560,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,
NV7439,NAVY,12,MILANO FORMALS,1,249.0,E2560,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,
NV7439,NAVY,14,MILANO FORMALS,5,249.0,E2560,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,
NV7439,NAVY,18,MILANO FORMALS,1,249.0,E2560,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,
NV7442,NAVY,2,MILANO FORMALS,5,249.0,E2557,249.0,Elegant halter syle dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.,,
NV7442,NAVY,4,MILANO FORMALS,1,249.0,E2557,249.0,Elegant halter syle dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.,,
NV7442,NAVY,6,MILANO FORMALS,7,249.0,E2557,249.0,Elegant halter syle dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.,,
NV7442,NAVY,10,MILANO FORMALS,12,249.0,E2557,249.0,Elegant halter syle dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.,,
NV7442,NAVY,14,MILANO FORMALS,5,249.0,E2557,249.0,Elegant halter syle dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.,,
NV7442,NAVY,18,MILANO FORMALS,3,249.0,E2557,249.0,Elegant halter syle dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.,,
NV7445,GOLD,0,MILANO FORMALS,1,179.0,E2554,179.0,"Two piece halter syle, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,
NV7445,GOLD,2,MILANO FORMALS,2,179.0,E2554,179.0,"Two piece halter syle, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,
NV7445,GOLD,4,MILANO FORMALS,8,179.0,E2554,179.0,"Two piece halter syle, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,
NV7445,GOLD,6,MILANO FORMALS,6,179.0,E2554,179.0,"Two piece halter syle, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,
NV7445,GOLD,8,MILANO FORMALS,4,179.0,E2554,179.0,"Two piece halter syle, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,
NV7445,GOLD,10,MILANO FORMALS,4,179.0,E2554,179.0,"Two piece halter syle, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,
NV7445,GOLD,14,MILANO FORMALS,2,179.0,E2554,179.0,"Two piece halter syle, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,
NV7445,GOLD,18,MILANO FORMALS,2,179.0,E2554,179.0,"Two piece halter syle, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,
NV7448,RED,0,MILANO FORMALS,1,179.0,E2551,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2551_Red_1.jpg,
NV7448,RED,4,MILANO FORMALS,2,179.0,E2551,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2551_Red_1.jpg,
