Handle,Color,Size,Brand,Quantity
AT1134,CLARET,34,MILANO FORMALS,4
AT1134,CLARET,38,MILANO FORMALS,8
AT1134,CLARET,40,MILANO FORMALS,2
AT1134,IVORY,8,MILANO FORMALS,5
AT1134,IVORY,10,MILANO FORMALS,8
AT1134,IVORY,40,MILANO FORMALS,1
AT1134,POOL,22,MILANO FORMALS,1
AT1134,PURPLE,4,MILANO FORMALS,1
AT1134,PURPLE,8,MILANO FORMALS,14
AT1134,PURPLE,10,MILANO FORMALS,1
AT1134,PURPLE,20,MILANO FORMALS,1
AT1134,PURPLE,30,MILANO FORMALS,1
AT1134,PURPLE,34,MILANO FORMALS,5
AT1134,PURPLE,40,MILANO FORMALS,6
AT1134,ROYAL,12,MILANO FORMALS,1
AT1134,SAGE,38,MILANO FORMALS,3
AT1134,SAGE,40,MILANO FORMALS,5
AT1134,SANGRIA,2,MILANO FORMALS,1
AT1134,SANGRIA,8,MILANO FORMALS,2
AT1134,SANGRIA,30,MILANO FORMALS,1
AT1134,SANGRIA,34,MILANO FORMALS,6
AT1134,SANGRIA,38,MILANO FORMALS,7
AT1134,SANGRIA,40,MILANO FORMALS,6
AT1134,SILVER,8,MILANO FORMALS,1
AT1134,SKY BLUE,38,MILANO FORMALS,4
AT1134,SKY BLUE,40,MILANO FORMALS,4
AT1134,TRUFFLE,4,MILANO FORMALS,7
AT1134,TRUFFLE,6,MILANO FORMALS,5
AT1134,TRUFFLE,8,MILANO FORMALS,29
AT1134,TRUFFLE,10,MILANO FORMALS,2
AT1134,TRUFFLE,12,MILANO FORMALS,12
AT1134,TRUFFLE,14,MILANO FORMALS,1
AT1134,TRUFFLE,20,MILANO FORMALS,1
AT1134,TRUFFLE,22,MILANO FORMALS,1
AT1134,TRUFFLE,24,MILANO FORMALS,3
AT1134,TRUFFLE,26,MILANO FORMALS,2
AT1134,TRUFFLE,28,MILANO FORMALS,1
AT1134,TRUFFLE,30,MILANO FORMALS,1
