Handle,Color,Size,Brand,Quantity,Price,Description,Urls
NV7398,EMERALD,4,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back,"https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_3.jpg"
NV7398,EMERALD,6,MILANO FORMALS,10,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back,"https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_3.jpg"
NV7398,EMERALD,8,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back,"https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_3.jpg"
NV7398,EMERALD,10,MILANO FORMALS,3,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back,"https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_3.jpg"
NV7398,EMERALD,14,MILANO FORMALS,1,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back,"https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_3.jpg"
NV7398,NAVY,4,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back,"https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_3.jpg"
NV7398,NAVY,8,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back,"https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_3.jpg"
NV7398,NAVY,18,MILANO FORMALS,2,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back,"https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_3.jpg"
NV7399,RED,2,MILANO FORMALS,2,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style.","https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_3.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_4.jpg"
NV7399,RED,4,MILANO FORMALS,2,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style.","https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_3.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_4.jpg"
