STYLE NO.,COLOR,BOXES NEEDED
E2328,BLACK,[808]
E1465,PURPLE,[812]
E1089,CORAL,[813]
E1089,SUNSHINE,[816]
E1071,TRUFFLE,[816]
E2102,BLACK,[816]
E1025,NAVY,[817]
B8895,CORAL,[818]
1386,PLUM,[818]
2436,BLACK,[819]
E1636,BLACK,[819]
E1013,PINK,[819]
E1981,BLACK,[823]
B8894,CHAMPAGNE/NAVY,[824]
AA9298,WHITE,[826]
E8665,FUCHSIA,[831]
AA233,WHITE/IVORY,[833]
AA9329,WHITE,[833]
E1024,TRUFFLE,[834]
570,VICTORIA LILAC,[834]
E1071,PEACH FIZZ,[836]
E1068,VICTORIA LILAC,[836]
B8691,MELON,[837]
AA9349,IVORY,"[840, 846]"
E2410,NUDE/IVORY,[841]
E1540,BLUE/PINK,[844]
E1194,WHITE,[846]
E1895,BLACK,[846]
E1831,RED,[846]
E1264,SAGE,[846]
E1573,ROYAL,[847]
E1573,TEAL,[847]
E1852,FUCHSIA,[847]
E1909,GREEN,[847]
5105,BLACK,[849]
E8588,SKYBLUE/BLACK,[850]
B8320,ORANGE,[850]
E1939,TEAL,"[856, 850]"
E2524,MAUVE,[850]
E1472,ROYAL,[850]
E1379,SAGE,[850]
AA9301,WHITE/IVORY,[852]
E252,GREEN,[855]
E2043,CORAL,[855]
E1716,PURPLE,[855]
E1761,RED,[855]
E2196,RED,[855]
E1637,BLACK/NUDE,[857]
E2073,BLUE,[857]
