STYLE NO.,COLOR,BOXES NEEDED
E1796,BISCOTTI,"[360, 121]"
E2257,WINE,"[352, 122]"
E1386,PLUM,"[122, 405]"
E2053,NAVY,[123]
B1452,PURPLE,[124]
E1663,PURPLE,[125]
E1696,TEAL,[127]
AA9307,IVORY,[129]
BD2006/200,,[]
BD2007/182,,[]
E1502,IVORY,[265]
E2606,MINT,[132]
E2550,RED,"[349, 359]"
B8998,RED,[133]
B8998,CLARET,[134]
E5105,BLACK,[135]
E1795,BISCOTTI,[135]
E2549,BLACK/GREEN,[231]
E1391,PURPLE,"[210, 178, 383]"
E1264,CORAL,"[160, 674, 136]"
AA221,WHITE,"[137, 268]"
E1579,WHITE,"[840, 137]"
E1502,CLARET,"[577, 137]"
B8401,SKY BLUE,"[138, 268]"
E2171,LIGHTBLUE,[138]
E2320,MULTI,[138]
AA9307,WHITE,[140]
E2717,CHAMPAGNE,[140]
E2514,EMERALD,"[172, 143]"
E2019,BLUE,"[850, 140, 143]"
E1510,WHITE,"[435, 140]"
E2327,RED,[141]
E2087,ROSE,[141]
E2160,SKY BLUE,[142]
AA9270,WHITE/NAVY,"[266, 316, 142]"
AA9270,WHITE/BURGUNDY,"[322, 268, 142, 316]"
E2076,MIDNIGHT,"[779, 182, 143]"
E1319,PURPLE,[143]
E1544,BLACK,[412]
E1730,ORANGE,[144]
E1730,ROYAL,"[531, 149]"
E1582,TEAL,"[145, 625, 511]"
E1918,GREEN,"[288, 240, 530]"
E2018,GREEN,[145]
E1507,WATERMELON,"[147, 205]"
E2087,DIRTY ROSE,[147]
E1018,ORANGE,[148]
B8865,SANGRIA,[148]
E1285,SAGE,"[188, 148]"
AA9303,IVORY,[151]
AA9270,WHITE,"[153, 226]"
AA9270,WHITE/IVORY,[153]
AA9300,IVORY,[154]
E1420,ROYAL,"[258, 155]"
E1270,TEAL,"[278, 175]"
E2460,BLACK,"[363, 156]"
E2031,BLACK,"[806, 708, 158]"
E1462,SKY BLUE,[158]
E1986,TIFFANY,[159]
E1285,CAFE,"[779, 159]"
E2281,PURPLE,"[346, 246]"
E1264,CLARET,"[312, 361, 779, 159]"
E2322,BLUSH,"[161, 478]"
E2097,MINT,"[161, 227]"
AA9308,IVORY,[162]
B8865,BROWN,[164]
BD2007/10,COFFEE,[164]
E1965,SANGRIA,[164]
E2082,BLACK,"[164, 205, 190]"
E2449,GREEN,"[851, 164, 269, 231]"
E1463,TRUFFLE,[433]
E2615,CLARET,"[189, 167]"
E2410,MUD,[167]
AA9322,IVORY,[168]
E2042,WINE,"[170, 643, 173]"
E2551,RED,[497]
BZ570,NAVY,[172]
BD 2006/741,PURPLE,[172]
B2602,MINT,[199]
AA9270,WHITE NAVY,[172]
