STYLE NO.,COLOR,BOX NUMBER,SIZE_US
E1838,TEAL,45,4.0
E1730,CHARCOAL,46,12.0
E1730,CHARCOAL,46,8.0
E1730,BURNT ORANGE,46,4.0
E1431,CORAL,46,4.0
E2171,SKY BLUE,47,6.0
570,PERRI,48,8.0
570,PERRI,48,14.0
570,PERRI,48,12.0
570,PERRI,48,10.0
BZ570,SKY BLUE,48,10.0
1116,SILVER,50,8.0
E1347,,50,8.0
E1421,GREY,50,12.0
E1264,BLACK,50,4.0
E1264,BLACK,50,4.0
E1672,BLUE,50,4.0
B8808,IVORY,51,8.0
B8808,IVORY/BLACK,51,8.0
BD2006/741,,51,8.0
BD2006/741,,51,12.0
BD2006/741,,51,10.0
E1420,PURPLE,52,8.0
E1420,PURPLE,52,6.0
E1420,PURPLE,52,4.0
E1285,FUCHSIA,53,12.0
E1582,PURPLE,53,6.0
E1582,FUCHSIA,53,4.0
AA9306,IVORY,54,14.0
AA9315,IVORY,54,12.0
E2182,NAVY,54,4.0
AA9313,IVORY,55,8.0
AA9313,IVORY,55,6.0
B8749,GREEN,56,8.0
B8749,GREEN,56,14.0
B8749,GREEN,56,12.0
B8749,GREEN,56,10.0
G1116,BURGUNDY,57,8.0
E1260,JADE,57,8.0
E1260,JADE,57,10.0
E1421,ROYAL,57,4.0
G1116,LILAC,58,12.0
E1260,JADE,59,8.0
E1260,TRUFFLE,59,8.0
F570,NAVY,59,14.0
E1260,JADE,59,10.0
E2252,PURPLE,59,14.0
E1910,SKY BLUE,59,14.0
E2252,PURPLE,59,12.0
E1799,TEAL,59,12.0
E1827,BLACK,59,10.0
E1909,SKY BLUE,59,8.0
E1827,BLACK,59,6.0
E1908,SKY BLUE,59,6.0
AA9313,IVORY,60,14.0
AA9314,IVORY,60,8.0
AA9313,IVORY,60,6.0
AA9314,IVORY,60,4.0
E2171,LIGHT BLUE,61,14.0
E2171,LIGHT BLUE,61,12.0
E1463,CORAL,61,6.0
E1463,CORAL,61,4.0
E2080,BLACK,62,6.0
E2126,BLACK,62,6.0
E1583,TEAL,62,6.0
E1657,TEAL,62,6.0
E1796,BLACK,62,4.0
E2080,BLACK,62,4.0
E2126,BLACK,62,4.0
E2136,BLACK,62,4.0
E2171,LIGHT BLUE,63,12.0
BD2007/4117,,64,8.0
Z570,,64,8.0
570,ROYAL,64,14.0
G570,,64,14.0
BD2007/4117,,64,12.0
BD2007/101,,64,10.0
570,NAVY,64,6.0
570,ROYAL,64,6.0
570,NAVY,64,5.0
570,LILAC,65,8.0
1116,SILVER,65,8.0
570,LILAC,65,12.0
570,PEACH,65,10.0
E2590,ROSE,66,8.0
E2590,ROSE,67,12.0
E2590,ROSE,67,8.0
E2590,ROSE,68,10.0
E2601,EMERALD,69,14.0
E2601,EMERALD,69,6.0
E2601,EMERALD,69,4.0
E2601,EMERALD,70,8.0
E2601,EMERALD,71,10.0
E2601,EMERALD,71,6.0
E2601,NAVY,72,8.0
E2601,NAVY,72,4.0
E2126,BLACK,73,14.0
E2126,BLACK,73,12.0
E2126,BLACK,73,10.0
E2126,BLACK,73,8.0
E1285,FUCHSIA,74,14.0
E1285,FUCHSIA,74,12.0
E1412,BROWN,76,12.0
