BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,SIZE_US,QUANTITY,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,Handle
7,E2513,MILANO FORMALS,RED,10,10,1,3033,2 Piece,E2513_RED_10,,,,,,,NV7486
7,E2253,MILANO FORMALS,RED,12,12,1,3033,#N/A,E2253_RED_12,,,,,,,NV7746
7,E2253,MILANO FORMALS,RED,14,14,1,3033,#N/A,E2253_RED_14,,,,,,,NV7746
7,E2513,MILANO FORMALS,RED,14,14,1,3033,2 Piece,E2513_RED_14,,,,,,,NV7486
7,E2253,MILANO FORMALS,RED,0,0,2,3033,#N/A,E2253_RED_0,,,,,,,NV7746
7,E2253,MILANO FORMALS,RED,10,10,2,3033,#N/A,E2253_RED_10,,,,,,,NV7746
7,E2513,MILANO FORMALS,RED,4,4,4,3033,2 Piece,E2513_RED_4,,,,,,,NV7486
7,E2513,MILANO FORMALS,RED,6,6,4,3033,2 Piece,E2513_RED_6,,,,,,,NV7486
7,E2253,MILANO FORMALS,RED,8,8,4,3033,#N/A,E2253_RED_8,,,,,,,NV7746
7,E2253,MILANO FORMALS,RED,6,6,12,3033,#N/A,E2253_RED_6,,,,,,,NV7746
8,F570,MILANO FORMALS,LAVENDER,4XL,26,1,3033,#N/A,F570_LAVENDER_26,,,,,,,B429
8,F570,MILANO FORMALS,LAVENDER,7XL,38,1,3033,#N/A,F570_LAVENDER_38,,,,,,,B429
8,F570,MILANO FORMALS,LILAC,8XL,40,1,3033,#N/A,F570_LILAC_40,,,,,,,B429
8,F570,MILANO FORMALS,LILAC,7XL,38,2,3033,#N/A,F570_LILAC_38,,,,,,,B429
8,F570,MILANO FORMALS,LAVENDER,6XL,34,5,3033,#N/A,F570_LAVENDER_34,,,,,,,B429
8,F570,MILANO FORMALS,LAVENDER,5XL,30,6,3033,#N/A,F570_LAVENDER_30,,,,,,,B429
8,F570,MILANO FORMALS,LILAC,6XL,34,35,3033,#N/A,F570_LILAC_34,,,,,,,B429
9,BD2006/741,MILANO FORMALS,PURPLE,L,12,2,3033,#N/A,BD2006/741_PURPLE_12,,,,,,,ATD7993/258
9,BD2006/344,MILANO FORMALS,OLIVE GREEN,XL,14,3,3033,#N/A,BD2006/344_OLIVE GREEN_14,,,,,,,ATD7993/655
9,BD2006/741,MILANO FORMALS,PURPLE,M,10,4,3033,#N/A,BD2006/741_PURPLE_10,,,,,,,ATD7993/258
9,BD2006/66,MILANO FORMALS,BLACK,XL,14,4,3033,#N/A,BD2006/66_BLACK_14,,,,,,,ATD7993/33
9,BD2006/502,MILANO FORMALS,OFF WHITE,L,12,7,3033,#N/A,BD2006/502_OFF WHITE_12,,,,,,,ATD7993/497
9,BD2006/502,MILANO FORMALS,OFF WHITE,S,8,7,3033,#N/A,BD2006/502_OFF WHITE_8,,,,,,,ATD7993/497
9,BD2006/502,MILANO FORMALS,OFF WHITE,M,10,8,3033,#N/A,BD2006/502_OFF WHITE_10,,,,,,,ATD7993/497
9,BD2006/344,MILANO FORMALS,OLIVE GREEN,M,10,9,3033,#N/A,BD2006/344_OLIVE GREEN_10,,,,,,,ATD7993/655
9,BD2006/66,MILANO FORMALS,BLACK,L,12,9,3033,#N/A,BD2006/66_BLACK_12,,,,,,,ATD7993/33
9,BD2006/344,MILANO FORMALS,OLIVE GREEN,L,12,11,3033,#N/A,BD2006/344_OLIVE GREEN_12,,,,,,,ATD7993/655
9,BD2006/741,MILANO FORMALS,PURPLE,S,8,13,3033,#N/A,BD2006/741_PURPLE_8,,,,,,,ATD7993/258
9,BD2006/66,MILANO FORMALS,BLACK,M,10,14,3033,#N/A,BD2006/66_BLACK_10,,,,,,,ATD7993/33
9,BD2006/344,MILANO FORMALS,OLIVE GREEN,S,8,16,3033,#N/A,BD2006/344_OLIVE GREEN_8,,,,,,,ATD7993/655
9,BD2006/66,MILANO FORMALS,BLACK,S,8,17,3033,#N/A,BD2006/66_BLACK_8,,,,,,,ATD7993/33
10,F570,MILANO FORMALS,ROYAL BLUE,XL,14,1,3033,#N/A,F570_ROYAL BLUE_14,,,,,,,B429
10,F570,MILANO FORMALS,ROYAL BLUE,8XL,40,2,3033,#N/A,F570_ROYAL BLUE_40,,,,,,,B429
10,F570,MILANO FORMALS,ROYAL BLUE,7XL,38,5,3033,#N/A,F570_ROYAL BLUE_38,,,,,,,B429
10,F570,MILANO FORMALS,LILAC,7XL,38,24,3033,#N/A,F570_LILAC_38,,,,,,,B429
10,F570,MILANO FORMALS,ROYAL BLUE,6XL,34,29,3033,#N/A,F570_ROYAL BLUE_34,,,,,,,B429
11,E1127,MILANO FORMALS,TRUFFLE,M,10,1,3033,#N/A,E1127_TRUFFLE_10,,,,,,,NV8872
11,E1127,MILANO FORMALS,TRUFFLE,L,12,1,3033,#N/A,E1127_TRUFFLE_12,,,,,,,NV8872
11,E1127,MILANO FORMALS,TRUFFLE,XL,14,1,3033,#N/A,E1127_TRUFFLE_14,,,,,,,NV8872
11,F570,MILANO FORMALS,BANANA YELLOW,3XL,22,1,3033,#N/A,F570_BANANA YELLOW_22,,,,,,,B429
11,F570,MILANO FORMALS,VICTORIA LILAC,6XL,34,1,3033,#N/A,F570_VICTORIA LILAC_34,,,,,,,B429
11,F570,MILANO FORMALS,PINK,6XL,34,1,3033,#N/A,F570_PINK_34,,,,,,,B429
11,F570,MILANO FORMALS,PINK,7XL,38,1,3033,#N/A,F570_PINK_38,,,,,,,B429
11,F570,MILANO FORMALS,CORAL,7XL,38,1,3033,#N/A,F570_CORAL_38,,,,,,,B429
11,F570,MILANO FORMALS,ROYAL BLUE,8XL,40,1,3033,#N/A,F570_ROYAL BLUE_40,,,,,,,B429
11,F570,MILANO FORMALS,ROYAL BLUE,S,8,1,3033,#N/A,F570_ROYAL BLUE_8,,,,,,,B429
11,E1890,MILANO FORMALS,BLACK,8,8,2,3033,Embellished,E1890_BLACK_8,,,,,,,NV8109
11,F570,MILANO FORMALS,BANANA YELLOW,4XL,26,2,3033,#N/A,F570_BANANA YELLOW_26,,,,,,,B429
11,F570,MILANO FORMALS,ROYAL BLUE,6XL,34,3,3033,#N/A,F570_ROYAL BLUE_34,,,,,,,B429
11,E1890,MILANO FORMALS,BLACK,6,6,5,3033,Embellished,E1890_BLACK_6,,,,,,,NV8109
11,F570,MILANO FORMALS,BANANA YELLOW,5XL,30,7,3033,#N/A,F570_BANANA YELLOW_30,,,,,,,B429
12,E2560,MILANO FORMALS,NAVY,2,2,1,3033,#N/A,E2560_NAVY_2,,,,,,,NV7439
