Code,Sum of QUANTITY,Consumer Price,PlusSize Price,WholeSale Price,Wholesale Plus Price,Description
AA9307,8,,,,,
AA9318,8,,,,,
E2072,8,,,,,
E2292,8,,,,,
E2118,8,,,,,
E2036,8,,,,,
E1591,7,,,,,
BD2006/10,7,,,,,
E1327,7,,,,,
E1593,7,,,,,
E2100,7,,,,,
E2331,7,,,,,
E2613,7,,,,,
E2035,7,,,,,
E1348,7,,,,,
E2259,7,,,,,
E2568,7,,,,,
E1513,7,,,,,
E2262,7,,,,,
E2336,7,,,,,
42113,7,,,,,
E2503,6,,,,,
BD2007/101,6,,,,,
E2767,6,,,,,
E1967,6,,,,,
E2405,6,,,,,
E2021,6,,,,,
E2535,6,,,,,
E1333,6,,,,,
E1904,6,,,,,
E1342,6,,,,,
E2318,6,,,,,
E1347,6,,,,,
AA9332,6,,,,,
E2050,6,,,,,
E2511,6,,,,,
E1462,6,,,,,
E1829,6,,,,,
4386,6,,,,,
E1895,6,,,,,
E2229,6,,,,,
E2257,6,,,,,
E2280,6,,,,,
E1947,5,,,,,
E1909,5,,,,,
E2606,5,,,,,
E1937,5,,,,,
E2460,5,,,,,
E1984,5,,,,,
AA9349,5,,,,,
E2019,5,,,,,
B8895,5,,,,,
E2233,5,,,,,
E1428,5,,,,,
E1503,5,,,,,
E2497,5,,,,,
E1303,5,,,,,
E1715,5,,,,,
(blank),5,,,,,
E1868,5,,,,,
E2023,5,,,,,
B8506,5,,,,,
E2078,5,,,,,
E2768,5,,,,,
E2102,5,,,,,
E2389,5,,,,,
E1507,4,,,,,
B8088,4,,,,,
AA932,4,,,,,
E2428,4,,,,,
E2346,4,,,,,
E2433,4,,,,,
E1442,4,,,,,
AA9304,4,,,,,
E1965,4,,,,,
E2110,4,,,,,
E2070,4,,,,,
AA9322,4,,,,,
E2360,4,,,,,
E2317,4,,,,,
E2764,4,,,,,
B8622,4,,,,,
E2258,4,,,,,
E1946,4,,,,,
E2333,4,,,,,
E2778,4,,,,,
E2028,4,,,,,
E1930,4,,,,,
E2410,4,,,,,
E1637,4,,,,,
E2279,4,,,,,
B8401,3,,,,,
E1981,3,,,,,
E2096,3,,,,,
E2256,3,,,,,
E1778,3,,,,,
E2016,3,,,,,
E2039,3,,,,,
E1537,3,,,,,
E2254,3,,,,,
B8894,3,,,,,
E1448,3,,,,,
E2068,3,,,,,
E1250,3,,,,,
E2289,3,,,,,
E2182,3,,,,,
BD2007/183,3,,,,,
E2605,3,,,,,
E2301,3,,,,,
E2097,3,,,,,
E1939,3,,,,,
E2510,3,,,,,
E2020,3,,,,,
AA9346,3,,,,,
B8621,3,,,,,
E1767,3,,,,,
E2328,3,,,,,
E2587,3,,,,,
E1385,3,,,,,
AA9259,3,,,,,
AA9329,3,,,,,
AA9306,3,,,,,
E1950,3,,,,,
AA221,3,,,,,
E2079,3,,,,,
AA9320,3,,,,,
E2395,3,,,,,
E2086,3,,,,,
E2500,3,,,,,
E2394,2,,,,,
B8967,2,,,,,
E1275,2,,,,,
AA9326,2,,,,,
E2161,2,,,,,
E1968,2,,,,,
BD2007/09,2,,,,,
E2463,2,,,,,
E2043,2,,,,,
BD 2006/741,2,,,,,
E1849,2,,,,,
BD2007/10,2,,,,,
E2610,2,,,,,
E1974,2,,,,,
E1892,2,,,,,
E1698,2,,,,,
E1396,2,,,,,
E1583,2,,,,,
AA9302,2,,,,,
E1540,2,,,,,
E5105,2,,,,,
E1940,2,,,,,
E1028,2,,,,,
E252,2,,,,,
AA9330,2,,,,,
AA9327,2,,,,,
AA3257,2,,,,,
E2340,2,,,,,
E1877,2,,,,,
E1449,2,,,,,
E2717,2,,,,,
E2296,2,,,,,
E1465,2,,,,,
B7715,2,,,,,
B8940,2,,,,,
E2150,2,,,,,
E2048,2,,,,,
E1824,2,,,,,
E2040,2,,,,,
5134,2,,,,,
E2780,2,,,,,
E2572,2,,,,,
AA9298,2,,,,,
E1833,2,,,,,
E1350,2,,,,,
E1844,2,,,,,
BD2007/4117,2,,,,,
E2584,2,,,,,
E1369,2,,,,,
E2320,2,,,,,
E2267,1,,,,,
E2757,1,,,,,
E1548,1,,,,,
AA9290,1,,,,,
A1054,1,,,,,
E2388,1,,,,,
E2109,1,,,,,
E2180,1,,,,,
E1882,1,,,,,
B8751,1,,,,,
E1979,1,,,,,
E2196,1,,,,,
E2356,1,,,,,
E24,1,,,,,
E1831,1,,,,,
E2401,1,,,,,
BD2001744,1,,,,,
E1636,1,,,,,
E2125,1,,,,,
E2204,1,,,,,
B8472,1,,,,,
B8898,1,,,,,
E2769,1,,,,,
E2416,1,,,,,
E2779,1,,,,,
E2423,1,,,,,
E2074,1,,,,,
E2213,1,,,,,
E1857,1,,,,,
E1472,1,,,,,
E2561,1,,,,,
E1655,1,,,,,
E1431,1,,,,,
E1656,1,,,,,
E2111,1,,,,,
E1497,1,,,,,
E1855,1,,,,,
E2434,1,,,,,
80377,1,,,,,
E1025,1,,,,,
42213,1,,,,,
E2003,1,,,,,
E1885,1,,,,,
E2441,1,,,,,
B8654,1,,,,,
E2443,1,,,,,
E2326,1,,,,,
E2448,1,,,,,
E0021,1,,,,,
E2231,1,,,,,
B8581,1,,,,,
E1982,1,,,,,
E1586,1,,,,,
B8680,1,,,,,
E2073,1,,,,,
E1044,1,,,,,
E2603,1,,,,,
E1683,1,,,,,
E1948,1,,,,,
AA9335,1,,,,,
E2607,1,,,,,
E1694,1,,,,,
E12126,1,,,,,
E2085,1,,,,,
E2032,1,,,,,
AA9336,1,,,,,
AA229,1,,,,,
AA226,1,,,,,
E1244,1,,,,,
E1697,1,,,,,
AA9305,1,,,,,
E1508,1,,,,,
E2287,1,,,,,
E2246,1,,,,,
E2593,1,,,,,
AA9303,1,,,,,
E1861,1,,,,,
AA9321,1,,,,,
B8320,1,,,,,
BD2006/7412,1,,,,,
E2121,1,,,,,
E1716,1,,,,,
E2614,1,,,,,
E2517,1,,,,,
E2619,1,,,,,
B8968,1,,,,,
E2705,1,,,,,
E2520,1,,,,,
E2128,1,,,,,
BD2006/972,1,,,,,
AA9292,1,,,,,
E1355,1,,,,,
E2069,1,,,,,
AA9357,1,,,,,
E1978,1,,,,,
E1753,1,,,,,
D8998,1,,,,,
E1761,1,,,,,
E2148,1,,,,,
E2534,1,,,,,
E2772,1,,,,,
E2057,1,,,,,
E1907,1,,,,,
E2537,1,,,,,
E2152,1,,,,,
B1194,1,,,,,
E2334,1,,,,,
AA9249,1,,,,,
E1910,1,,,,,
E1774,1,,,,,
AA9300,1,,,,,
AA9251,1,,,,,
E2608,1,,,,,
E1786,1,,,,,
AA233,1,,,,,
E2548,1,,,,,
E2604,1,,,,,
B7038,1,,,,,
2260,1,,,,,
B8859,1,,,,,
B9314,1,,,,,
E1170,1,,,,,
B9312,1,,,,,
B8124,1,,,,,
E2025,1,,,,,
E1201,1,,,,,
E1923,1,,,,,
E2276,,,,,,
E0018,,,,,,
Grand Total,13672,,,,,
