BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,SIZE_US,QUANTITY,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,MAPPED,Style_colour
1,F570,MILANO FORMALS,CORAL,7XL,38,11,3033,#N/A,F570_CORAL_38,,,,,,,B429,F570_CORAL
1,F570,MILANO FORMALS,CORAL,8XL,40,12,3033,#N/A,F570_CORAL_40,,,,,,,B429,F570_CORAL
1,F570,MILANO FORMALS,CORAL,5XL,30,13,3033,#N/A,F570_CORAL_30,,,,,,,B429,F570_CORAL
1,F570,MILANO FORMALS,CORAL,6XL,34,25,3033,#N/A,F570_CORAL_34,,,,,,,B429,F570_CORAL
2,F570,MILANO FORMALS,BLACK,7XL,38,1,3033,#N/A,F570_BLACK_38,,,,,,,B429,F570_BLACK
2,F570,MILANO FORMALS,NAVY,8XL,40,1,3033,#N/A,F570_NAVY_40,,,,,,,B429,F570_NAVY
2,F570,MILANO FORMALS,BLACK,8XL,40,1,3033,#N/A,F570_BLACK_40,,,,,,,B429,F570_BLACK
2,F570,MILANO FORMALS,NAVY,7XL,38,2,3033,#N/A,F570_NAVY_38,,,,,,,B429,F570_NAVY
2,F570,MILANO FORMALS,NAVY,2XL,18,3,3033,#N/A,F570_NAVY_18,,,,,,,B429,F570_NAVY
2,F570,MILANO FORMALS,NAVY,5XL,30,4,3033,#N/A,F570_NAVY_30,,,,,,,B429,F570_NAVY
2,F570,MILANO FORMALS,NAVY,6XL,34,6,3033,#N/A,F570_NAVY_34,,,,,,,B429,F570_NAVY
2,F570,MILANO FORMALS,NAVY,S,8,7,3033,#N/A,F570_NAVY_8,,,,,,,B429,F570_NAVY
2,F1116,MILANO FORMALS,LILAC,8XL,40,12,3033,#N/A,F1116_LILAC_40,,,,,,,B8883,F1116_LILAC
2,F570,MILANO FORMALS,NAVY,M,10,14,3033,#N/A,F570_NAVY_10,,,,,,,B429,F570_NAVY
3,F1116,MILANO FORMALS,LILAC,20,20,1,3033,#N/A,F1116_LILAC_20,,,,,,,B8883,F1116_LILAC
3,F570,MILANO FORMALS,LILAC,L,12,1,3033,#N/A,F570_LILAC_12,,,,,,,B429,F570_LILAC
3,F570,MILANO FORMALS,LILAC,S,8,1,3033,#N/A,F570_LILAC_8,,,,,,,B429,F570_LILAC
3,F1116,MILANO FORMALS,LILAC,12,12,2,3033,#N/A,F1116_LILAC_12,,,,,,,B8883,F1116_LILAC
3,F570,MILANO FORMALS,LILAC,7XL,38,2,3033,#N/A,F570_LILAC_38,,,,,,,B429,F570_LILAC
3,F1116,MILANO FORMALS,LILAC,6,6,3,3033,#N/A,F1116_LILAC_6,,,,,,,B8883,F1116_LILAC
3,F570,MILANO FORMALS,LILAC,6XL,34,3,3033,#N/A,F570_LILAC_34,,,,,,,B429,F570_LILAC
3,F1116,MILANO FORMALS,LILAC,7XL,38,3,3033,#N/A,F1116_LILAC_38,,,,,,,B8883,F1116_LILAC
3,F570,MILANO FORMALS,LILAC,8XL,40,22,3033,#N/A,F570_LILAC_40,,,,,,,B429,F570_LILAC
4,E1799,MILANO FORMALS,FUCHSIA,6,6,2,3033,Prom,E1799_FUCHSIA_6,,,,,,,NV8200,E1799_FUCHSIA
4,E1852,MILANO FORMALS,BURGUNDY,6,6,2,3033,Bridesmaid,E1852_BURGUNDY_6,,,,,,,NV8147,E1852_BURGUNDY
4,E1852,MILANO FORMALS,PINK,6,6,3,3033,Bridesmaid,E1852_PINK_6,,,,,,,NV8147,E1852_PINK
4,F1116,MILANO FORMALS,CORAL,6XL,34,3,3033,#N/A,F1116_CORAL_34,,,,,,,B8883,F1116_CORAL
4,F1116,MILANO FORMALS,CORAL,7XL,38,5,3033,#N/A,F1116_CORAL_38,,,,,,,B8883,F1116_CORAL
4,F1116,MILANO FORMALS,CORAL,8XL,40,7,3033,#N/A,F1116_CORAL_40,,,,,,,B8883,F1116_CORAL
5,F570,MILANO FORMALS,NAVY,M,10,1,3033,#N/A,F570_NAVY_10,,,,,,,B429,F570_NAVY
5,F570,MILANO FORMALS,NAVY,4XL,26,1,3033,#N/A,F570_NAVY_26,,,,,,,B429,F570_NAVY
5,F570,MILANO FORMALS,NAVY,S,8,1,3033,#N/A,F570_NAVY_8,,,,,,,B429,F570_NAVY
5,F570,MILANO FORMALS,NAVY,2XL,18,4,3033,#N/A,F570_NAVY_18,,,,,,,B429,F570_NAVY
5,F570,MILANO FORMALS,NAVY,7XL,38,6,3033,#N/A,F570_NAVY_38,,,,,,,B429,F570_NAVY
5,F570,MILANO FORMALS,NAVY,8XL,40,6,3033,#N/A,F570_NAVY_40,,,,,,,B429,F570_NAVY
5,F570,MILANO FORMALS,NAVY,5XL,30,7,3033,#N/A,F570_NAVY_30,,,,,,,B429,F570_NAVY
5,F570,MILANO FORMALS,NAVY,6XL,34,26,3033,#N/A,F570_NAVY_34,,,,,,,B429,F570_NAVY
6,E1421,MILANO FORMALS,CORAL,4,4,1,3033,Bridesmaid,E1421_CORAL_4,,,,,,,NV8578,E1421_CORAL
6,E2327,MILANO FORMALS,RED/BLACK,6,6,1,3033,Elegant Evening,E2327_RED/BLACK_6,,,,,,,NV7672,E2327_RED/BLACK
6,E2770,MILANO FORMALS,RED,6,6,1,3033,Gala/ pageant,E2770_RED_6,,,,,,,NV7229,E2770_RED
6,E1421,MILANO FORMALS,CORAL,20,20,2,3033,Bridesmaid,E1421_CORAL_20,,,,,,,NV8578,E1421_CORAL
6,E1421,MILANO FORMALS,CORAL,24,24,2,3033,Bridesmaid,E1421_CORAL_24,,,,,,,NV8578,E1421_CORAL
6,E1421,MILANO FORMALS,CORAL,6,6,4,3033,Bridesmaid,E1421_CORAL_6,,,,,,,NV8578,E1421_CORAL
6,E1421,MILANO FORMALS,CORAL,10,10,5,3033,Bridesmaid,E1421_CORAL_10,,,,,,,NV8578,E1421_CORAL
7,E2513,MILANO FORMALS,RED,0,0,1,3033,2 Piece,E2513_RED_0,,,,,,,NV7486,E2513_RED
7,E2513,MILANO FORMALS,RED,2,2,1,3033,2 Piece,E2513_RED_2,,,,,,,NV7486,E2513_RED
7,E2253,MILANO FORMALS,RED ,4,4,1,3033,#N/A,E2253_RED _4,,,,,,,NV7746,E2253_RED 
7,E2253,MILANO FORMALS,RED,12,12,1,3033,#N/A,E2253_RED_12,,,,,,,NV7746,E2253_RED
7,E2253,MILANO FORMALS,RED,14,14,1,3033,#N/A,E2253_RED_14,,,,,,,NV7746,E2253_RED
7,E2513,MILANO FORMALS,RED,14,14,1,3033,2 Piece,E2513_RED_14,,,,,,,NV7486,E2513_RED
7,E2253,MILANO FORMALS,RED,0,0,2,3033,#N/A,E2253_RED_0,,,,,,,NV7746,E2253_RED
7,E2253,MILANO FORMALS,RED,10,10,2,3033,#N/A,E2253_RED_10,,,,,,,NV7746,E2253_RED
7,E2513,MILANO FORMALS,RED,4,4,4,3033,2 Piece,E2513_RED_4,,,,,,,NV7486,E2513_RED
7,E2513,MILANO FORMALS,RED,6,6,4,3033,2 Piece,E2513_RED_6,,,,,,,NV7486,E2513_RED
7,E2253,MILANO FORMALS,RED,8,8,4,3033,#N/A,E2253_RED_8,,,,,,,NV7746,E2253_RED
7,E2253,MILANO FORMALS,RED,6,6,12,3033,#N/A,E2253_RED_6,,,,,,,NV7746,E2253_RED
7,E2513,MILANO FORMALS,RED,10,10,1,3033,2 Piece,E2513_RED_10,,,,,,,NV7746,E2513_RED
8,F570,MILANO FORMALS,LAVENDER,4XL,26,1,3033,#N/A,F570_LAVENDER_26,,,,,,,B429,F570_LAVENDER
8,F570,MILANO FORMALS,LAVENDER,7XL,38,1,3033,#N/A,F570_LAVENDER_38,,,,,,,B429,F570_LAVENDER
8,F570,MILANO FORMALS,LILAC,8XL,40,1,3033,#N/A,F570_LILAC_40,,,,,,,B429,F570_LILAC
8,F570,MILANO FORMALS,LILAC,7XL,38,2,3033,#N/A,F570_LILAC_38,,,,,,,B429,F570_LILAC
8,F570,MILANO FORMALS,LAVENDER,6XL,34,5,3033,#N/A,F570_LAVENDER_34,,,,,,,B429,F570_LAVENDER
8,F570,MILANO FORMALS,LAVENDER,5XL,30,6,3033,#N/A,F570_LAVENDER_30,,,,,,,B429,F570_LAVENDER
8,F570,MILANO FORMALS,LILAC,6XL,34,35,3033,#N/A,F570_LILAC_34,,,,,,,B429,F570_LILAC
9,BD2006/741,MILANO FORMALS,PURPLE,L,12,2,3033,#N/A,BD2006/741_PURPLE_12,,,,,,,ATD7993/258,BD2006/741_PURPLE
9,BD2006/344,MILANO FORMALS,OLIVE GREEN,XL,14,3,3033,#N/A,BD2006/344_OLIVE GREEN_14,,,,,,,ATD7993/655,BD2006/344_OLIVE GREEN
9,BD2006/741,MILANO FORMALS,PURPLE,M,10,4,3033,#N/A,BD2006/741_PURPLE_10,,,,,,,ATD7993/258,BD2006/741_PURPLE
9,BD2006/66,MILANO FORMALS,BLACK,XL,14,4,3033,#N/A,BD2006/66_BLACK_14,,,,,,,ATD7993/33,BD2006/66_BLACK
9,BD2006/502,MILANO FORMALS,OFF WHITE,L,12,7,3033,#N/A,BD2006/502_OFF WHITE_12,,,,,,,ATD7993/497,BD2006/502_OFF WHITE
9,BD2006/502,MILANO FORMALS,OFF WHITE,S,8,7,3033,#N/A,BD2006/502_OFF WHITE_8,,,,,,,ATD7993/497,BD2006/502_OFF WHITE
9,BD2006/502,MILANO FORMALS,OFF WHITE,M,10,8,3033,#N/A,BD2006/502_OFF WHITE_10,,,,,,,ATD7993/497,BD2006/502_OFF WHITE
9,BD2006/344,MILANO FORMALS,OLIVE GREEN,M,10,9,3033,#N/A,BD2006/344_OLIVE GREEN_10,,,,,,,ATD7993/655,BD2006/344_OLIVE GREEN
9,BD2006/66,MILANO FORMALS,BLACK,L,12,9,3033,#N/A,BD2006/66_BLACK_12,,,,,,,ATD7993/33,BD2006/66_BLACK
9,BD2006/344,MILANO FORMALS,OLIVE GREEN,L,12,11,3033,#N/A,BD2006/344_OLIVE GREEN_12,,,,,,,ATD7993/655,BD2006/344_OLIVE GREEN
9,BD2006/741,MILANO FORMALS,PURPLE,S,8,13,3033,#N/A,BD2006/741_PURPLE_8,,,,,,,ATD7993/258,BD2006/741_PURPLE
9,BD2006/66,MILANO FORMALS,BLACK,M,10,14,3033,#N/A,BD2006/66_BLACK_10,,,,,,,ATD7993/33,BD2006/66_BLACK
9,BD2006/344,MILANO FORMALS,OLIVE GREEN,S,8,16,3033,#N/A,BD2006/344_OLIVE GREEN_8,,,,,,,ATD7993/655,BD2006/344_OLIVE GREEN
9,BD2006/66,MILANO FORMALS,BLACK,S,8,17,3033,#N/A,BD2006/66_BLACK_8,,,,,,,ATD7993/33,BD2006/66_BLACK
10,F570,MILANO FORMALS,ROYAL BLUE,XL,14,1,3033,#N/A,F570_ROYAL BLUE_14,,,,,,,B429,F570_ROYAL BLUE
10,F570,MILANO FORMALS,ROYAL BLUE,8XL,40,2,3033,#N/A,F570_ROYAL BLUE_40,,,,,,,B429,F570_ROYAL BLUE
10,F570,MILANO FORMALS,ROYAL BLUE,7XL,38,5,3033,#N/A,F570_ROYAL BLUE_38,,,,,,,B429,F570_ROYAL BLUE
10,F570,MILANO FORMALS,LILAC,7XL,38,24,3033,#N/A,F570_LILAC_38,,,,,,,B429,F570_LILAC
10,F570,MILANO FORMALS,ROYAL BLUE,6XL,34,29,3033,#N/A,F570_ROYAL BLUE_34,,,,,,,B429,F570_ROYAL BLUE
11,E1127,MILANO FORMALS,TRUFFLE,M,10,1,3033,#N/A,E1127_TRUFFLE_10,,,,,,,NV8872,E1127_TRUFFLE
11,E1127,MILANO FORMALS,TRUFFLE,L,12,1,3033,#N/A,E1127_TRUFFLE_12,,,,,,,NV8872,E1127_TRUFFLE
11,E1127,MILANO FORMALS,TRUFFLE,XL,14,1,3033,#N/A,E1127_TRUFFLE_14,,,,,,,NV8872,E1127_TRUFFLE
11,F570,MILANO FORMALS,BANANA YELLOW,3XL,22,1,3033,#N/A,F570_BANANA YELLOW_22,,,,,,,B429,F570_BANANA YELLOW
11,F570,MILANO FORMALS,VICTORIA LILAC,6XL,34,1,3033,#N/A,F570_VICTORIA LILAC_34,,,,,,,B429,F570_VICTORIA LILAC
11,F570,MILANO FORMALS,PINK,6XL,34,1,3033,#N/A,F570_PINK_34,,,,,,,B429,F570_PINK
11,F570,MILANO FORMALS,PINK,7XL,38,1,3033,#N/A,F570_PINK_38,,,,,,,B429,F570_PINK
11,F570,MILANO FORMALS,CORAL,7XL,38,1,3033,#N/A,F570_CORAL_38,,,,,,,B429,F570_CORAL
11,F570,MILANO FORMALS,ROYAL BLUE,8XL,40,1,3033,#N/A,F570_ROYAL BLUE_40,,,,,,,B429,F570_ROYAL BLUE
11,F570,MILANO FORMALS,ROYAL BLUE,S,8,1,3033,#N/A,F570_ROYAL BLUE_8,,,,,,,B429,F570_ROYAL BLUE
11,E1890,MILANO FORMALS,BLACK,8,8,2,3033,Embellished,E1890_BLACK_8,,,,,,,NV8109,E1890_BLACK
11,F570,MILANO FORMALS,BANANA YELLOW,4XL,26,2,3033,#N/A,F570_BANANA YELLOW_26,,,,,,,B429,F570_BANANA YELLOW
11,F570,MILANO FORMALS,ROYAL BLUE,6XL,34,3,3033,#N/A,F570_ROYAL BLUE_34,,,,,,,B429,F570_ROYAL BLUE
11,E1890,MILANO FORMALS,BLACK,6,6,5,3033,Embellished,E1890_BLACK_6,,,,,,,NV8109,E1890_BLACK
11,F570,MILANO FORMALS,BANANA YELLOW,5XL,30,7,3033,#N/A,F570_BANANA YELLOW_30,,,,,,,B429,F570_BANANA YELLOW
12,E2560,MILANO FORMALS,NAVY,2,2,1,3033,#N/A,E2560_NAVY_2,,,,,,,NV7439,E2560_NAVY
12,E2560,MILANO FORMALS,NAVY,6,6,1,3033,#N/A,E2560_NAVY_6,,,,,,,NV7439,E2560_NAVY
12,BD2006/413,MILANO FORMALS,,L,12,1,3033,#N/A,BD2006/413_12,,,,,,,ATD7993/586,BD2006/413_
12,BD2007/101,MILANO FORMALS,,L,12,1,3033,#N/A,BD2007/101_12,,,,,,,ATD7992/898,BD2007/101_
12,E2560,MILANO FORMALS,NAVY,10,10,2,3033,#N/A,E2560_NAVY_10,,,,,,,NV7439,E2560_NAVY
12,BD2007/417,MILANO FORMALS,,M,10,2,3033,#N/A,BD2007/417_10,,,,,,,ATD7992/582,BD2007/417_
12,BD2006/413,MILANO FORMALS,,M,10,3,3033,#N/A,BD2006/413_10,,,,,,,ATD7993/586,BD2006/413_
12,BD2007/417,MILANO FORMALS,,L,12,3,3033,#N/A,BD2007/417_12,,,,,,,ATD7992/582,BD2007/417_
