STYLE NO.,COLOR,SIZE,BRAND NAME,QUANTITY
570,SKY BLUE,4XL,MILANO,3.0
570,SKY BLUE,5XL,MILANO,59.0
570,SKY BLUE,6XL,MILANO,81.0
570,SKY BLUE,7XL,,36.0
570,SKY BLUE,8XL,,29.0
570,SKY BLUE,XL,,1.0
570,TRUFFLE,8XL,,16.0
570,TURQUOISE,2XL,,3.0
570,TURQUOISE,3XL,,4.0
570,TURQUOISE,6XL,,3.0
570,TURQUOISE,7XL,,5.0
570,TURQUOISE,8XL,,5.0
570,VICTORIA LILAC,2XL,,1.0
570,VICTORIA LILAC,3XL,,4.0
570,VICTORIA LILAC,4XL,,1.0
570,VICTORIA LILAC,5XL,,1.0
570,VICTORIA LILAC,6XL,MILANO,6.0
570,VICTORIA LILAC,7XL,,22.0
570,VICTORIA LILAC,8XL,,4.0
570,VICTORIA LILAC,S,,4.0
570,WHITE,3XL,,2.0
570,WHITE,4XL,,4.0
570,WHITE,5XL,,33.0
570,WHITE,6XL,,83.0
570,WHITE,7XL,,42.0
570,WHITE,8XL,,22.0
570,WHITE,L,,1.0
AA9270,APPLE RED,12,,1.0
AA9270,BURGUNDY,6,,2.0
AA9270,IVORY,12,,1.0
AA9270,LAVENDER,12,,5.0
AA9270,LAVENDER,14,,1.0
AA9270,LAVENDER,6,,1.0
AA9270,LAVENDER,8,,1.0
AA9270,WHITE,12,,1.0
AA9270,WHITE,18,,1.0
AA9270,WHITE,2,,1.0
AA9270,WHITE,6,,2.0
AA9270,WHITE BURGUNDY,14,,1.0
AA9270,WHITE BURGUNDY,6,,1.0
AA9270,WHITE NAVY,12,,2.0
AA9270,WHITE NAVY,22,,1.0
AA9270,WHITE/BURGUNDY,0,,2.0
AA9270,WHITE/BURGUNDY,12,,2.0
AA9270,WHITE/BURGUNDY,14,,1.0
AA9270,WHITE/BURGUNDY,18,,2.0
AA9270,WHITE/BURGUNDY,6,,1.0
AA9270,WHITE/BURGUNDY,8,,1.0
AA9270,WHITE/IVORY,12,,1.0
AA9270,WHITE/IVORY,16,,2.0
AA9270,WHITE/IVORY,24,,2.0
AA9270,WHITE/IVORY,6,,1.0
AA9270,WHITE/IVORY,8,,1.0
AA9270,WHITE/NAVY,10,,7.0
AA9270,WHITE/NAVY,12,,3.0
AA9270,WHITE/NAVY,14,,1.0
AA9270,WHITE/NAVY,16,,4.0
AA9270,WHITE/NAVY,22,,1.0
AA9270,WHITE/NAVY,24,,3.0
AA9270,WHITE/NAVY,26,,1.0
AA9270,WHITE/NAVY,6,,4.0
AA9270,WHITE/NAVY,8,,7.0
AA9270,WHITE/NAVY,9,,1.0
AA9270,WHITE/RED,6,,6.0
B8486,BLACK,16,,1.0
B8486,BLACK/FUCHSIA,2XL,,2.0
B8486,BLACK/FUCHSIA,L,,7.0
B8486,BLACK/FUCHSIA,M,,9.0
B8486,BLACK/FUCHSIA,S,,12.0
B8486,BLACK/FUCHSIA,XL,,12.0
B8486,BLACK/LILAC,2XL,,15.0
B8486,BLACK/LILAC,3XL,,19.0
B8486,BLACK/LILAC,L,,29.0
B8486,BLACK/LILAC,M,,12.0
B8486,BLACK/LILAC,S,,22.0
B8486,BLACK/LILAC,XL,,17.0
B8486,BLACK/LIME,M,,2.0
B8486,BLACK/LIME,XL,,2.0
B8608,LILAC,2XL,,3.0
B8608,LILAC,3XL,,5.0
B8608,LILAC,L,,6.0
B8608,LILAC,M,,9.0
B8608,LILAC,S,,9.0
B8608,LILAC,XL,,5.0
B8608,PINK,2XL,,2.0
B8608,PINK,L,,3.0
B8608,PINK,S,,3.0
B8608,PINK,XL,,9.0
B8608,SKY BLUE,2XL,,6.0
B8608,SKY BLUE,3XL,,6.0
B8608,SKY BLUE,L,,9.0
B8608,SKY BLUE,M,,9.0
B8608,SKY BLUE,S,,10.0
B8608,SKY BLUE,XL,,7.0
B8808,IVORY,S,,25.0
B8808,IVORY/BLACK,S,,1.0
B8808,IVORY/NAVY,L,,6.0
B8808,IVORY/NAVY,M,,3.0
B8808,IVORY/NAVY,S,,10.0
B8808,IVORY/NAVY,XL,,4.0
B8808,NAVY/IVORY,L,,1.0
B8808,NAVY/IVORY,M,,3.0
B8808,NAVY/IVORY,S,,9.0
B8808,WHITE,4,,1.0
B8865,BROWN,10,,1.0
B8865,CLARET,10,,4.0
B8865,CLARET,12,,1.0
B8865,CLARET,14,,2.0
B8865,CLARET,16,,1.0
B8865,CLARET,18,,3.0
B8865,CLARET,22,,4.0
B8865,CLARET,26,,3.0
B8865,CLARET,34,,4.0
B8865,CLARET,4,,6.0
B8865,CLARET,40,,2.0
