Code,Color,Size,Brand,Quantity,Category,Price,Urls
AA222,IVORY,8,ANDY ANAND COUTURE,1,,173.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_3.png?v=1727407816,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_4.png?v=1727407789,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786"
AA222,WHITE,4,ANDY ANAND COUTURE,6,,173.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_3.png?v=1727407816,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_4.png?v=1727407789,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786"
AA222,WHITE,6,ANDY ANAND COUTURE,6,,173.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_3.png?v=1727407816,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_4.png?v=1727407789,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786"
AA222,WHITE,8,ANDY ANAND COUTURE,2,,173.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_3.png?v=1727407816,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_4.png?v=1727407789,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786"
AA222,WHITE,10,ANDY ANAND COUTURE,1,,173.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_3.png?v=1727407816,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_4.png?v=1727407789,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786"
AA222,WHITE/IVORY,2,ANDY ANAND COUTURE,1,,173.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_3.png?v=1727407816,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_4.png?v=1727407789,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786"
AA226,WHITE,4,ANDY ANAND COUTURE,1,,310.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA226_Ivory_4.png?v=1727407817,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA226_Ivory_5.png?v=1727407804,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA226_Ivory_2.png?v=1727407787,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA226_Ivory_3.png?v=1727407785,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA226_Ivory_1.png?v=1727407744"
AA229,WHITE/NUDE,6,ANDY ANAND COUTURE,1,,,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA229_Ivory_2.png?v=1727407761,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA229_Ivory_1.png?v=1727407759"
AA233,WHITE/IVORY,14,ANDY ANAND COUTURE,1,,,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA233_Ivory_1.png?v=1727407733,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA233_Ivory_2.png?v=1727407732"
AA9254,IVORY,6,ANDY ANAND COUTURE,6,,348.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_4.png?v=1727407809,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_2.png?v=1727407802,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_1.png?v=1727407796,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_3.png?v=1727407794"
AA9254,IVORY,8,ANDY ANAND COUTURE,6,,348.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_4.png?v=1727407809,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_2.png?v=1727407802,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_1.png?v=1727407796,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_3.png?v=1727407794"
AA9254,IVORY,12,ANDY ANAND COUTURE,1,,348.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_4.png?v=1727407809,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_2.png?v=1727407802,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_1.png?v=1727407796,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_3.png?v=1727407794"
AA9254,WHITE,6,ANDY ANAND COUTURE,4,,348.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_4.png?v=1727407809,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_2.png?v=1727407802,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_1.png?v=1727407796,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_3.png?v=1727407794"
AA9254,WHITE,8,ANDY ANAND COUTURE,6,,348.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_4.png?v=1727407809,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_2.png?v=1727407802,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_1.png?v=1727407796,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_3.png?v=1727407794"
AA9254,WHITE,10,ANDY ANAND COUTURE,4,,348.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_4.png?v=1727407809,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_2.png?v=1727407802,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_1.png?v=1727407796,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_3.png?v=1727407794"
AA9254,WHITE,12,ANDY ANAND COUTURE,2,,348.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_4.png?v=1727407809,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_2.png?v=1727407802,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_1.png?v=1727407796,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9254_White-Ivory_3.png?v=1727407794"
AA9256,IVORY,4,ANDY ANAND COUTURE,1,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,IVORY,6,ANDY ANAND COUTURE,4,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,IVORY,8,ANDY ANAND COUTURE,3,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,IVORY,10,ANDY ANAND COUTURE,3,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,IVORY,12,ANDY ANAND COUTURE,5,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,IVORY,14,ANDY ANAND COUTURE,4,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,IVORY,18,ANDY ANAND COUTURE,1,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,WHITE,10,ANDY ANAND COUTURE,4,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,WHITE,12,ANDY ANAND COUTURE,4,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,WHITE,14,ANDY ANAND COUTURE,3,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9256,WHITE,26,ANDY ANAND COUTURE,1,,723.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_1.png?v=1727407812,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_2.png?v=1727407810,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_3.png?v=1727407800,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9256_White-Ivory_4.png?v=1727407787"
AA9257,IVORY,4,ANDY ANAND COUTURE,1,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,IVORY,6,ANDY ANAND COUTURE,1,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,IVORY,8,ANDY ANAND COUTURE,1,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,IVORY,10,ANDY ANAND COUTURE,1,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,IVORY,12,ANDY ANAND COUTURE,4,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,IVORY,14,ANDY ANAND COUTURE,2,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,IVORY,16,ANDY ANAND COUTURE,1,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,WHITE,6,ANDY ANAND COUTURE,3,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,WHITE,8,ANDY ANAND COUTURE,4,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,WHITE,10,ANDY ANAND COUTURE,6,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,WHITE,12,ANDY ANAND COUTURE,6,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9257,WHITE,16,ANDY ANAND COUTURE,2,,723.0,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9257_White_1.jpg?v=1727407673
AA9270,APPLE RED,12,ANDY ANAND COUTURE,1,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
