Code,Color,Size,Brand,Quantity,Category,Description,Price,Collection
AA9301,WHITE/IVORY,6,ANDY ANAND COUTURE,1,,,249.0,
AA9304,WHITE,4,ANDY ANAND COUTURE,1,,,299.0,
AA9304,WHITE,6,ANDY ANAND COUTURE,3,,,299.0,
AA9307,IVORY,8,ANDY ANAND COUTURE,1,,,389.0,
AA9307,IVORY,22,ANDY ANAND COUTURE,1,,,389.0,
AA9307,WHITE,10,ANDY ANAND COUTURE,1,,,389.0,
AA9307,WHITE,12,ANDY ANAND COUTURE,2,,,389.0,
AA9308,IVORY,4,ANDY ANAND COUTURE,2,,,599.0,
AA9308,IVORY,6,ANDY ANAND COUTURE,1,,,599.0,
AA9308,WHITE,4,ANDY ANAND COUTURE,4,,,599.0,
AA9308,WHITE,6,ANDY ANAND COUTURE,3,,,599.0,
AA9308,WHITE,8,ANDY ANAND COUTURE,1,,,599.0,
AA9308,WHITE,10,ANDY ANAND COUTURE,2,,,599.0,
AA9308,WHITE,14,ANDY ANAND COUTURE,6,,,599.0,
AA9308,WHITE,16,ANDY ANAND COUTURE,17,,,599.0,
AA9308,WHITE,22,ANDY ANAND COUTURE,1,,,599.0,
AA9309,IVORY,4,ANDY ANAND COUTURE,8,,,225.0,
AA9309,IVORY,6,ANDY ANAND COUTURE,5,,,225.0,
AA9309,IVORY,10,ANDY ANAND COUTURE,1,,,225.0,
AA9309,IVORY,12,ANDY ANAND COUTURE,2,,,225.0,
AA9309,IVORY,14,ANDY ANAND COUTURE,1,,,225.0,
AA9309,IVORY,16,ANDY ANAND COUTURE,2,,,225.0,
AA9309,WHITE,4,ANDY ANAND COUTURE,2,,,225.0,
AA9309,WHITE,6,ANDY ANAND COUTURE,4,,,225.0,
AA9309,WHITE,8,ANDY ANAND COUTURE,4,,,225.0,
AA9309,WHITE,10,ANDY ANAND COUTURE,1,,,225.0,
AA9309,WHITE,12,ANDY ANAND COUTURE,1,,,225.0,
AA9309,WHITE,14,ANDY ANAND COUTURE,5,,,225.0,
AA9309,WHITE,16,ANDY ANAND COUTURE,1,,,225.0,
AA9310,IVORY,4,ANDY ANAND COUTURE,2,,,299.0,
AA9310,IVORY,6,ANDY ANAND COUTURE,4,,,299.0,
AA9310,IVORY,16,ANDY ANAND COUTURE,1,,,299.0,
AA9310,WHITE,4,ANDY ANAND COUTURE,1,,,299.0,
AA9310,WHITE,8,ANDY ANAND COUTURE,1,,,299.0,
AA9310,WHITE,10,ANDY ANAND COUTURE,3,,,299.0,
AA9310,WHITE,14,ANDY ANAND COUTURE,2,,,299.0,
AA9310,WHITE,16,ANDY ANAND COUTURE,1,,,299.0,
AA9319,IVORY,4,ANDY ANAND COUTURE,2,,,249.0,
AA9319,IVORY,6,ANDY ANAND COUTURE,3,,,249.0,
AA9319,IVORY,8,ANDY ANAND COUTURE,2,,,249.0,
AA9319,WHITE,4,ANDY ANAND COUTURE,3,,,249.0,
AA9319,WHITE,6,ANDY ANAND COUTURE,2,,,249.0,
AA9319,WHITE,8,ANDY ANAND COUTURE,1,,,249.0,
AA9319,WHITE,10,ANDY ANAND COUTURE,1,,,249.0,
AA9319,WHITE,16,ANDY ANAND COUTURE,3,,,249.0,
AA9321,IVORY,6,ANDY ANAND COUTURE,1,,,279.0,
AA9322,IVORY,12,ANDY ANAND COUTURE,1,,,349.0,
AA9322,WHITE,8,ANDY ANAND COUTURE,2,,,349.0,
AA9322,WHITE,14,ANDY ANAND COUTURE,1,,,349.0,
AA9330,IVORY,4,ANDY ANAND COUTURE,1,,,399.0,
AA9330,WHITE,22,ANDY ANAND COUTURE,1,,,399.0,
AA9349,IVORY,6,ANDY ANAND COUTURE,1,,,279.0,
AA9349,IVORY,8,ANDY ANAND COUTURE,1,,,279.0,
AA9349,IVORY,16,ANDY ANAND COUTURE,1,,,279.0,
AA9349,WHITE,10,ANDY ANAND COUTURE,1,,,279.0,
AA9349,WHITE,16,ANDY ANAND COUTURE,2,,,279.0,
B8401,SKY BLUE,8,MILANO FORMALS,2,,,299.0,
B8401,SKY BLUE,10,MILANO FORMALS,1,,,299.0,
B8472,SAGE,18,MILANO FORMALS,1,,,279.0,
B8608,LILAC,8,MILANO FORMALS,9,Elegant Evening,,199.0,
B8608,LILAC,10,MILANO FORMALS,9,Elegant Evening,,199.0,
B8608,LILAC,12,MILANO FORMALS,6,Elegant Evening,,199.0,
B8608,LILAC,14,MILANO FORMALS,5,Elegant Evening,,199.0,
B8608,LILAC,18,MILANO FORMALS,3,Elegant Evening,,199.0,
B8608,LILAC,22,MILANO FORMALS,5,Elegant Evening,,199.0,
B8608,PINK,8,MILANO FORMALS,3,Elegant Evening,,199.0,
B8608,PINK,12,MILANO FORMALS,3,Elegant Evening,,199.0,
B8608,PINK,14,MILANO FORMALS,9,Elegant Evening,,199.0,
B8608,PINK,18,MILANO FORMALS,2,Elegant Evening,,199.0,
B8608,SKY BLUE,8,MILANO FORMALS,10,Elegant Evening,,199.0,
B8608,SKY BLUE,10,MILANO FORMALS,9,Elegant Evening,,199.0,
B8608,SKY BLUE,12,MILANO FORMALS,9,Elegant Evening,,199.0,
B8608,SKY BLUE,14,MILANO FORMALS,6,Elegant Evening,,199.0,
B8608,SKY BLUE,18,MILANO FORMALS,6,Elegant Evening,,199.0,
B8608,SKY BLUE,22,MILANO FORMALS,6,Elegant Evening,,199.0,
B8622,LILAC,22,MILANO FORMALS,4,,,289.0,
B8661,ORANGE,8,MILANO FORMALS,4,,,199.0,
B8661,ORANGE,10,MILANO FORMALS,5,,,199.0,
B8661,ORANGE,12,MILANO FORMALS,7,,,199.0,
B8661,ORANGE,14,MILANO FORMALS,7,,,199.0,
B8691,MELON,12,MILANO FORMALS,6,,,349.0,
B8691,MELON,14,MILANO FORMALS,8,,,349.0,
B8691,MELON,18,MILANO FORMALS,6,,,349.0,
B8691,MELON,22,MILANO FORMALS,10,,,349.0,
B8749,GREEN,8,ANDY ANAND,21,,,179.0,
B8749,GREEN,10,ANDY ANAND,4,,,179.0,
B8749,GREEN,12,ANDY ANAND,7,,,179.0,
B8749,GREEN,14,ANDY ANAND,11,,,179.0,
B8749,GREEN,18,ANDY ANAND,7,,,179.0,
B8808,BLACK,30,MILANO FORMALS,1,,,199.0,
B8808,IVORY,8,MILANO FORMALS,29,,,199.0,
B8808,IVORY/BLACK,8,MILANO FORMALS,1,,,199.0,
B8808,IVORY/NAVY,8,MILANO FORMALS,10,,,199.0,
B8808,IVORY/NAVY,10,MILANO FORMALS,3,,,199.0,
B8808,IVORY/NAVY,12,MILANO FORMALS,6,,,199.0,
B8808,IVORY/NAVY,14,MILANO FORMALS,4,,,199.0,
B8808,NAVY/IVORY,8,MILANO FORMALS,9,,,199.0,
B8808,NAVY/IVORY,10,MILANO FORMALS,3,,,199.0,
B8808,NAVY/IVORY,12,MILANO FORMALS,1,,,199.0,
B8808,TRUFFLE,8,MILANO FORMALS,2,,,199.0,
B8808,TRUFFLE,10,MILANO FORMALS,3,,,199.0,
B8808,WHITE,4,MILANO FORMALS,1,,,199.0,
B8808,WHITE,10,MILANO FORMALS,1,,,199.0,
B8865,BROWN,10,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,CLARET,4,MILANO FORMALS,6,Elegant Evening,,199.0,
B8865,CLARET,6,MILANO FORMALS,7,Elegant Evening,,199.0,
B8865,CLARET,8,MILANO FORMALS,3,Elegant Evening,,199.0,
B8865,CLARET,10,MILANO FORMALS,11,Elegant Evening,,199.0,
B8865,CLARET,12,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,CLARET,14,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,CLARET,16,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,CLARET,18,MILANO FORMALS,3,Elegant Evening,,199.0,
B8865,CLARET,22,MILANO FORMALS,5,Elegant Evening,,199.0,
B8865,CLARET,26,MILANO FORMALS,3,Elegant Evening,,199.0,
B8865,CLARET,34,MILANO FORMALS,4,Elegant Evening,,199.0,
B8865,CLARET,38,MILANO FORMALS,8,Elegant Evening,,199.0,
B8865,CLARET,40,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,IVORY,8,MILANO FORMALS,5,Elegant Evening,,199.0,
B8865,IVORY,10,MILANO FORMALS,8,Elegant Evening,,199.0,
B8865,IVORY,40,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,POOL,22,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,PURPLE,4,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,PURPLE,8,MILANO FORMALS,14,Elegant Evening,,199.0,
B8865,PURPLE,10,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,PURPLE,20,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,PURPLE,30,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,PURPLE,34,MILANO FORMALS,5,Elegant Evening,,199.0,
B8865,PURPLE,40,MILANO FORMALS,6,Elegant Evening,,199.0,
B8865,ROYAL,12,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,SAGE,38,MILANO FORMALS,3,Elegant Evening,,199.0,
B8865,SAGE,40,MILANO FORMALS,5,Elegant Evening,,199.0,
B8865,SANGRIA,2,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,SANGRIA,8,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,SANGRIA,30,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,SANGRIA,34,MILANO FORMALS,6,Elegant Evening,,199.0,
