BOX NUMBER,Code,Brand,Color,SIZE,Size,Quantity,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,MAPPED,Style_colour
51.0,BD2006/741,MILANO FORMALS,,L,12,2,3033.0,,BD2006/741_12,,,,,,,ATD7993/258,BD2006/741_
51.0,BD2006/741,MILANO FORMALS,,M,10,8,3033.0,,BD2006/741_10,,,,,,,ATD7993/258,BD2006/741_
336.0,BD2006/741,MILANO FORMALS,,L,12,1,3032.0,,BD2006/741_12,,19.99,,,,,ATD7993/258,BD2006/741_
336.0,BD2006/741,MILANO FORMALS,,S,8,1,3032.0,,BD2006/741_8,,19.99,,,,,ATD7993/258,BD2006/741_
243.0,BD2007/09,MILANO FORMALS,,8,8,1,3032.0,,BD2007/09_8,,,,,,,ATD7992/90,BD2007/09_
243.0,BD2007/09,MILANO FORMALS,,16,16,1,3032.0,,BD2007/09_16,,,,,,,ATD7992/90,BD2007/09_
12.0,BD2007/101,MILANO FORMALS,,L,12,1,3033.0,,BD2007/101_12,,,,,,,ATD7992/898,BD2007/101_
12.0,BD2007/101,MILANO FORMALS,,XL,14,4,3033.0,,BD2007/101_14,,,,,,,ATD7992/898,BD2007/101_
64.0,BD2007/101,MILANO FORMALS,,M,10,1,3033.0,,BD2007/101_10,,,,,,,ATD7992/898,BD2007/101_
64.0,BD2007/101,MILANO FORMALS,,S,8,1,3033.0,,BD2007/101_8,,,,,,,ATD7992/5882,BD2007/101_
130.0,BD2007/182,MILANO FORMALS,,S,8,3,3725.0,,BD2007/182_8,,,,,,,ATD7992/817,BD2007/182_
130.0,BD2007/182,MILANO FORMALS,,M,10,5,3725.0,,BD2007/182_10,,,,,,,ATD7992/817,BD2007/182_
130.0,BD2007/182,MILANO FORMALS,,L,12,5,3725.0,,BD2007/182_12,,,,,,,ATD7992/817,BD2007/182_
130.0,BD2007/182,MILANO FORMALS,,XL,14,9,3725.0,,BD2007/182_14,,,,,,,ATD7992/817,BD2007/182_
12.0,BD2007/417,MILANO FORMALS,,M,10,2,3033.0,,BD2007/417_10,,,,,,,ATD7992/582,BD2007/417_
12.0,BD2007/417,MILANO FORMALS,,L,12,3,3033.0,,BD2007/417_12,,,,,,,ATD7992/582,BD2007/417_
12.0,BD2007/417,MILANO FORMALS,,XL,14,2,3033.0,,BD2007/417_14,,,,,,,ATD7992/582,BD2007/417_
12.0,BD2007/417,MILANO FORMALS,,2XL,18,3,3033.0,,BD2007/417_18,,,,,,,ATD7992/582,BD2007/417_
914.0,E1018,,ORANGE,S,,1,,,,,,,,,,,
932.0,E1024,,BANANA,S,,1,,,,,,,,,,,
932.0,E1024,,BANANA,XL,,1,,,,,,,,,,,
914.0,E1025,,NAVY,S,,1,,,,,,,,,,,
914.0,E1044,,DARKCELADON,S,,1,,,,,,,,,,,
931.0,E1064,,MINT,S,,1,,,,,,,,,,,
931.0,E1064,,MINT,XL,,1,,,,,,,,,,,
932.0,E1064,,MINT,S,,1,,,,,,,,,,,
929.0,E1065,,PURPLE,4,,1,,,,,,,,,,,
929.0,E1065,,PURPLE,8,,1,,,,,,,,,,,
912.0,E1068,,BURGUNDY,S,,1,,,,,,,,,,,
912.0,E1068,,BURGUNDY,XL,,1,,,,,,,,,,,
929.0,E1089,,PEACH,S,,1,,,,,,,,,,,
929.0,E1089,,PEACH,XL,,1,,,,,,,,,,,
926.0,E1119,,VICTORIA-LILAC,2XL,,1,,,,,,,,,,,
926.0,E1119,,VICTORIA-LILAC,XL,,1,,,,,,,,,,,
931.0,E1119,,BURGUNDY,S,,1,,,,,,,,,,,
706.0,E1127,MILANO FORMALS,TRUFFLE,S,8,REM,3733.0,,E1127_TRUFFLE_8,,,,,,,NV8872,E1127_TRUFFLE
931.0,E1127,,TRUFFLE,S,,1,,,,,,,,,,,
627.0,E1194,MILANO FORMALS,SKY-BLUE,S,8,REM,3733.0,,E1194_SKY-BLUE_8,,,,,,,NV8805,E1194_SKY-BLUE
653.0,E1194,MILANO FORMALS,FUCHSIA,S,8,REM,3733.0,,E1194_FUCHSIA_8,,,,,,,NV8805,E1194_FUCHSIA
700.0,E1194,MILANO FORMALS,SKY-BLUE,4,4,REM,3733.0,,E1194_SKY-BLUE_4,,,,,,,NV8805,E1194_SKY-BLUE
926.0,E1194,,SKYBLUE,4,,1,,,,,,,,,,,
926.0,E1194,,SKYBLUE,5,,1,,,,,,,,,,,
927.0,E1194,,FUCHSIA,4,,1,,,,,,,,,,,
927.0,E1194,,FUCHSIA,14,,1,,,,,,,,,,,
927.0,E1194,,FUCHSIA,8,,1,,,,,,,,,,,
933.0,E1194,,FUSCHIA,5,,1,,,,,,,,,,,
933.0,E1194,,TEAL,S,,1,,,,,,,,,,,
479.0,E1259,MILANO FORMALS,PINK,XS,XS,1,3033.0,Ball Gown/Quinceanera ,E1259_PINK_XS,,,,,,,NV8740,E1259_PINK
175.0,E1270,MILANO FORMALS,TEAL,2XL ,2XL ,1,3725.0,Bridesmaid,E1270_TEAL_2XL ,,,,,,,NV8729,E1270_TEAL
914.0,E1278,,GREY,S,,1,,,,,,,,,,,
909.0,E1303,,GREY,4,,3,,,,,,,,,,,
909.0,E1303,,GREY,6,,1,,,,,,,,,,,
850.0,E1312,MILANO FORMALS,CLARET,M,10,REM,3240.0,,E1312_CLARET_10,,,,,,1.0,NV8687,E1312_CLARET
