BOX NUMBER,Code,Brand,Color,SIZE,Size,Quantity,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,MAPPED,Style_colour
260.0,E2775,MILANO FORMALS,ROYAL,8,8,REM,3032.0,,E2775_ROYAL_8,,,,,,,NV7224,E2775_ROYAL
905.0,E2778,,BLUE,0,,2,,,,,,,,,,,
905.0,E2778,,BLUSH,0,,1,,,,,,,,,,,
905.0,E2778,,BLUSH,12,,1,,,,,,,,,,,
916.0,E2779,,PINK,0,,1,,,,,,,,,,,
135.0,E5105,MILANO FORMALS,BLACK,XS,XS,1,3725.0,,E5105_BLACK_XS,,,,,,,NV4894,E5105_BLACK
849.0,E5105,MILANO FORMALS,BLACK,XS,XS,1,3240.0,,E5105_BLACK_XS,,,,,,,NV4894,E5105_BLACK
912.0,E5105,,BLACK,XS,,1,,,,,,,,,,,
64.0,F570,MILANO FORMALS,,XL,14,1,3033.0,,F570_14,,,,,,,B429,F570_
64.0,F570,MILANO FORMALS,,S,8,1,3033.0,,F570_8,,,,,,,B429,F570_
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
901.0,BD2007/09,,,8,,1,,,,,,,,,,,
901.0,BD2007/09,,,16,,1,,,,,,,,,,,
901.0,E2078,,,14,,3,,,,,,,,,,,
901.0,E2078,,,18,,2,,,,,,,,,,,
906.0,BD2007/10,,,M,,6,,,,,,,,,,,
906.0,BD2007/10,,,L,,1,,,,,,,,,,,
910.0,BD2007/183,,,14,,1,,,,,,,,,,,
910.0,BD2007/183,,,18,,1,,,,,,,,,,,
911.0,E1449,,,24,,2,,,,,,,,,,,
912.0,BD2006/741,,,M,,1,,,,,,,,,,,
912.0,BD2006/741,,,S,,1,,,,,,,,,,,
912.0,BD2006/66,,,XL,,1,,,,,,,,,,,
912.0,BD2006/66,,,S,,1,,,,,,,,,,,
912.0,BD2007/182,,,S,,1,,,,,,,,,,,
912.0,BD2007/182,,,XL,,1,,,,,,,,,,,
912.0,BD2007/417,,,XL,,1,,,,,,,,,,,
912.0,BD2007/417,,,L,,1,,,,,,,,,,,
912.0,BD2006/502,,,S,,1,,,,,,,,,,,
912.0,BD2006/344,,,S,,1,,,,,,,,,,,
912.0,BD2006/344,,,XL,,1,,,,,,,,,,,
912.0,BD2006/24,,,S,,1,,,,,,,,,,,
912.0,BD2006/24,,,XL,,1,,,,,,,,,,,
913.0,BD2007/417,,,XL,,1,,,,,,,,,,,
914.0,BD2006/200,,,S,,1,,,,,,,,,,,
914.0,BD2007/101,,,S,,1,,,,,,,,,,,
914.0,BD2007/101,,,XL,,1,,,,,,,,,,,
914.0,BD2007/101,,,L,,1,,,,,,,,,,,
924.0,E2787,,,8,,3,,,,,,,,,,,
924.0,E2787,,,4,,4,,,,,,,,,,,
924.0,E2787,,,12,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
941.0,AA9271,,IVORY,8,,2,,,,,,,,,,,
941.0,AA9271,,WHITE,8,,1,,,,,,,,,,,
941.0,E2497,,MINT,4,,1,,,,,,,,,,,
940.0,E2282,,YELLOW-BLACK,8,,2,,,,,,,,,,,
940.0,E2282,,YELLOW-BLACK,14,,2,,,,,,,,,,,
940.0,E2282,,YELLOW-BLACK,12,,6,,,,,,,,,,,
940.0,E2282,,YELLOW-BLACK,10,,4,,,,,,,,,,,
939.0,E2034,,BERRY,18,,1,,,,,,,,,,,
939.0,E2081,,NAVY,2,,1,,,,,,,,,,,
939.0,E1264,,BLACK,6,,1,,,,,,,,,,,
939.0,E1546,,CORAL,24,,1,,,,,,,,,,,
939.0,E2036,,GREEN,0,,1,,,,,,,,,,,
939.0,E2059,,ROYAL,14,,1,,,,,,,,,,,
939.0,E2061,,BLACK,8,,1,,,,,,,,,,,
939.0,E2281,,PURPLE,10,,1,,,,,,,,,,,
939.0,E2201,,BLACK-GOLD,14,,1,,,,,,,,,,,
939.0,E2031,,BLACK,4,,1,,,,,,,,,,,
939.0,E1838,,BLACK,4,,1,,,,,,,,,,,
939.0,E2527,,BLACK,6,,1,,,,,,,,,,,
939.0,E1657,,BLACK,4,,1,,,,,,,,,,,
939.0,E1986,,TIFFANY-POOL,4,,1,,,,,,,,,,,
939.0,F570,,ROYAL,7XL,,1,,,,,,,,,,,
939.0,F570,,ROYAL,5XL,,1,,,,,,,,,,,
939.0,F570,,ROYAL,8XL,,1,,,,,,,,,,,
939.0,E1264,,CLARET,10,,1,,,,,,,,,,,
939.0,E2080,,BLACK,2,,1,,,,,,,,,,,
939.0,E2543,,BLACK,2,,1,,,,,,,,,,,
938.0,E1260,,JADE,M,,1,,,,,,,,,,,
938.0,E2527,,BLACK,8,,1,,,,,,,,,,,
938.0,E1822,,PEACH,4,,1,,,,,,,,,,,
938.0,E1546,,BLACK,8,,1,,,,,,,,,,,
938.0,E1264,,TEAL,30,,1,,,,,,,,,,,
938.0,E2578,,BLACK,8,,2,,,,,,,,,,,
938.0,E2578,,BLACK,10,,2,,,,,,,,,,,
938.0,E1424,,TEAL,24,,1,,,,,,,,,,,
937.0,E2000,,ROYAL,8,,1,,,,,,,,,,,
937.0,E2000,,ROYAL,12,,2,,,,,,,,,,,
937.0,E2000,,ROYAL,14,,2,,,,,,,,,,,
937.0,E2000,,ROYAL,18,,1,,,,,,,,,,,
937.0,E2011,,BLUE-WHITE,14,,1,,,,,,,,,,,
937.0,E1980,,ROSE-WINE,0,,3,,,,,,,,,,,
936.0,E2000,,COBALT,0,,5,,,,,,,,,,,
936.0,E2000,,COBALT,2,,3,,,,,,,,,,,
936.0,E2000,,COBALT,4,,6,,,,,,,,,,,
935.0,E1391,,CLARET,24,,1,,,,,,,,,,,
935.0,E2030,,,0,,1,,,,,190.0,,,,,,
935.0,E2280,,PINK,14,,1,,,,,,,,,,,
935.0,E2280,,PINK,0,,1,,,,,,,,,,,
935.0,E2081,,NAVY,8,,1,,,,,190.0,,,,,,
935.0,E2081,,NAVY,10,,1,,,,,,,,,,,
935.0,E2545,,GREEN,10,,1,,,,,,,,,,,
935.0,E1911,,NAVY,2,,1,,,,,190.0,,,,,,
935.0,E1911,,NAVY,18,,1,,,,,,,,,,,
935.0,E2084,,BLACK,0,,1,,,,,190.0,,,,,,
934.0,E1918,,BOTTLEGREEN,2,,2,,,,,479.0,,,,,,
934.0,E2426,,NAVY,2,,1,,,,,,,,,,,
934.0,E1838,,TEAL,4,,1,,,,,,,,,,,
934.0,E1685,,FUCHSIA,16,,1,,,,,,,,,,,
