BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,SIZE_US
10,BZ570,MILANO,ROYAL BLUE,XL,1,,3033,,,,,,,14
11,570,MILANO,ROYAL BLUE,S,1,,3033,,,,,,,8
11,570,MILANO,ROYAL BLUE,8XL,1,,3033,,,,,,,40
11,570,MILANO,CORAL,7XL,1,,3033,,,,,,,38
11,570,MILANO,PINK,7XL,1,,3033,,,,,,,38
11,570,MILANO,PINK,6XL,1,,3033,,,,,,,34
11,570,MILANO,ROYAL BLUE,6XL,3,,3033,,,,,,,34
11,570,MILANO,VICTORIA LILAC,6XL,1,,3033,,,,,,,34
11,570,MILANO,BANANA YELLOW,5XL,7,,3033,,,,,,,30
11,570,MILANO,BANANA YELLOW,4XL,2,,3033,,,,,,,26
11,570,MILANO,BANANA YELLOW,3XL,1,,3033,,,,,,,22
11,E1127,,TRUFFLE,XL,1,,3033,,,,,,,14
11,E1127,,TRUFFLE,L,1,,3033,,,,,,,12
11,E1127,,TRUFFLE,M,1,,3033,,,,,,,10
11,E1890,,BLACK,8,2,,3033,,,,,,,8
11,E1890,,BLACK,6,5,,3033,,,,,,,6
12,BD2006/413,,,S,14,,3033,,,,,,,8
12,BD2007/417,,,2XL,3,,3033,,,,,,,18
12,BD2007/101,,,XL,4,,3033,,,,,,,14
12,BD2007/417,,,XL,3,,3033,,,,,,,14
12,BD2006/413,,,L,1,,3033,,,,,,,12
12,BD2007/101,,,L,1,,3033,,,,,,,12
12,BD2007/417,,,L,3,,3033,,,,,,,12
12,BD2006/413,,,M,3,,3033,,,,,,,10
12,BD2007/417,,,M,2,,3033,,,,,,,10
12,E2560,,NAVY,10,2,,3033,,,,,,,10
12,E2560,,NAVY,6,1,,3033,,,,,,,6
12,E2560,,NAVY,2,1,,3033,,,,,,,2
13,1116,,CORAL,8XL,1,,3033,,,,,,,40
13,570,MILANO,PINK,8XL,2,,3033,,,,,,,40
13,570,MILANO,PINK,7XL,2,,3033,,,,,,,38
13,570,MILANO,PINK,6XL,2,,3033,,,,,,,34
13,570,MILANO,PINK,4XL,1,,3033,,,,,,,26
13,BZ570,MILANO,PINK,4XL,1,,3033,,,,,,,26
