BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,,,,,,,,,,,,,,
8,570,MILANO,LILAC,8XL,1,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/66,,BLACK,S,17,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/66,,BLACK,M,14,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/66,,BLACK,L,9,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/66,,BLACK,XL,4,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/502,,OFF WHITE,S,7,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/502,,OFF WHITE,M,8,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/502,,OFF WHITE,L,7,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/344,,OLIVE GREEN,S,16,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/344,,OLIVE GREEN,M,9,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/344,,OLIVE GREEN,L,11,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/344,,OLIVE GREEN,XL,3,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/741,,PURPLE,S,13,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/741,,PURPLE,M,4,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/741,,PURPLE,L,2,,,,,,,,,,,,,,,,,,,,,,
10,570,MILANO,LILAC,7XL,24,,,,,,,,,,,,,,,,,,,,,,
10,BZ570,MILANO,ROYAL BLUE,XL,1,,,,,,,,,,,,,,,,,,,,,,
10,BZ570,MILANO,ROYAL BLUE,6XL,29,,,,,,,,,,,,,,,,,,,,,,
10,BZ570,MILANO,ROYAL BLUE,7XL,5,,,,,,,,,,,,,,,,,,,,,,
10,BZ570,MILANO,ROYAL BLUE,8XL,2,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,BANANA YELLOW,3XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,BANANA YELLOW,4XL,2,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,BANANA YELLOW,5XL,7,,,,,,,,,,,,,,,,,,,,,,
11,E1890,,BLACK,6,5,,,,,,,,,,,,,,,,,,,,,,
11,E1890,,BLACK,8,2,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,CORAL,7XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,PINK,6XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,PINK,7XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,ROYAL BLUE,S,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,ROYAL BLUE,6XL,3,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,ROYAL BLUE,8XL,1,,,,,,,,,,,,,,,,,,,,,,
11,E1127,,TRUFFLE,M,1,,,,,,,,,,,,,,,,,,,,,,
11,E1127,,TRUFFLE,L,1,,,,,,,,,,,,,,,,,,,,,,
11,E1127,,TRUFFLE,XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,VICTORIA LILAC,6XL,1,,,,,,,,,,,,,,,,,,,,,,
12,E2560,,NAVY,2,1,,,,,,,,,,,,,,,,,,,,,,
12,E2560,,NAVY,6,1,,,,,,,,,,,,,,,,,,,,,,
12,E2560,,NAVY,10,2,,,,,,,,,,,,,,,,,,,,,,
12,BD2006/413,,,S,14,,,,,,,,,,,,,,,,,,,,,,
12,BD2006/413,,,M,3,,,,,,,,,,,,,,,,,,,,,,
12,BD2006/413,,,L,1,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/101,,,L,1,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/101,,,XL,4,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/417,,,M,2,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/417,,,L,3,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/417,,,XL,3,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/417,,,2XL,3,,,,,,,,,,,,,,,,,,,,,,
13,1116,,CORAL,8XL,1,,,,,,,,,,,,,,,,,,,,,,
13,E2255,,FUCHSIA,8,3,,,,,,,,,,,,,,,,,,,,,,
13,E2255,,FUCHSIA,10,4,,,,,,,,,,,,,,,,,,,,,,
13,E2255,,FUCHSIA,12,5,,,,,,,,,,,,,,,,,,,,,,
13,E2255,,FUCHSIA,14,5,,,,,,,,,,,,,,,,,,,,,,
13,E2255,,FUCHSIA,16,2,,,,,,,,,,,,,,,,,,,,,,
13,570,MILANO,PINK,3XL,4,,,,,,,,,,,,,,,,,,,,,,
13,570,MILANO,PINK,4XL,1,,,,,,,,,,,,,,,,,,,,,,
13,570,MILANO,PINK,6XL,2,,,,,,,,,,,,,,,,,,,,,,
13,570,MILANO,PINK,7XL,2,,,,,,,,,,,,,,,,,,,,,,
13,570,MILANO,PINK,8XL,2,,,,,,,,,,,,,,,,,,,,,,
13,BZ570,MILANO,PINK,3XL,1,,,,,,,,,,,,,,,,,,,,,,
13,BZ570,MILANO,PINK,4XL,1,,,,,,,,,,,,,,,,,,,,,,
14,E2527,,BLACK,2,3,,,,$229.00,,,,,,,,,,,,,,,,,,
14,E2527,,BLACK,4,3,,,,$229.00,,,,,,,,,,,,,,,,,,
14,E2531,,ROYAL BLUE,2,1,,,,$229.00,,,,,,,,,,,,,,,,,,
14,E2531,,ROYAL BLUE,4,2,,,,$229.00,,,,,,,,,,,,,,,,,,
14,E2531,,ROYAL BLUE,6,4,,,,$229.00,,,,,,,,,,,,,,,,,,
14,E2531,,ROYAL BLUE,8,1,,,,$229.00,,,,,,,,,,,,,,,,,,
15,E2524,,GREEN,6,2,,,,$219.00,,,,,,,,,,,,,,,,,,
15,E2524,,GREEN,10,1,,,,$219.00,,,,,,,,,,,,,,,,,,
15,E2253,MILANO FORMALS,RED,8,1,,,,,,,,,,,,,,,,,,,,,,
15,E2253,MILANO FORMALS,RED,10,2,,,,,,,,,,,,,,,,,,,,,,
15,E2253,MILANO FORMALS,RED,12,3,,,,,,,,,,,,,,,,,,,,,,
15,E2253,MILANO FORMALS,RED,14,4,,,,,,,,,,,,,,,,,,,,,,
15,E2253,MILANO FORMALS,RED,16,1,,,,,,,,,,,,,,,,,,,,,,
15,E2253,MILANO FORMALS,RED,20,1,,,,,,,,,,,,,,,,,,,,,,
15,E2253,MILANO FORMALS,RED ,4,1,,,,,,,,,,,,,,,,,,,,,,
15,E1379,,TRUFFLE,6,1,,,,,,,,,,,,,,,,,,,,,,
15,E1379,,TRUFFLE,10,1,,,,,,,,,,,,,,,,,,,,,,
15,E1745,,TURQUOISE GREEN,12,7,,,,,,,,,,,,,,,,,,,,,,
16,E1379,,TRUFFLE,3,1,,,,,,,,,,,,,,,,,,,,,,
16,E1379,,TRUFFLE,8,7,,,,,,,,,,,,,,,,,,,,,,
16,E1379,,TRUFFLE,10,8,,,,,,,,,,,,,,,,,,,,,,
17,B8808,,IVORY/NAVY,S,4,,,,,,,,,,,,,,,,,,,,,,
17,B8808,,IVORY/NAVY,M,3,,,,,,,,,,,,,,,,,,,,,,
17,B8808,,IVORY/NAVY,L,2,,,,,,,,,,,,,,,,,,,,,,
17,B8808,,IVORY/NAVY,XL,1,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,LILAC,6XL,1,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,LILAC,7XL,3,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,LILAC,8XL,5,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,PERRI,S,3,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,PERRI,L,2,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,PINK,5XL,1,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,PINK,6XL,5,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,PINK,7XL,3,,,,,,,,,,,,,,,,,,,,,,
17,570,MILANO,PINK,8XL,2,,,,,,,,,,,,,,,,,,,,,,
18,E2511,,BLUE,0,1,,,,,,,,,,,,,,,,,,,,,,
18,E2526,,GREEN,2,2,,,,,,,,,,,,,,,,,,,,,,
18,E1946,,NAVY,0,1,,,,,,,,,,,,,,,,,,,,,,
18,E1379,,PEACOCK,4,3,,,,,,,,,,,,,,,,,,,,,,
18,E1379,,PEACOCK,6,3,,,,,,,,,,,,,,,,,,,,,,
18,E1379,,PEACOCK,8,2,,,,,,,,,,,,,,,,,,,,,,
18,E1379,,PEACOCK,10,1,,,,,,,,,,,,,,,,,,,,,,
18,E2531,,ROYAL BLUE,0,1,,,,,,,,,,,,,,,,,,,,,,
18,E2023,,TURQUOISE,2,1,,,,$219.00,,,,,,,,,,,,,,,,,,
19,570,MILANO,FUCHSIA,S,6,,,,,,,,,,,,,,,,,,,,,,
19,570,MILANO,FUCHSIA,6XL,18,,,,,,,,,,,,,,,,,,,,,,
19,570,MILANO,FUCHSIA,7XL,10,,,,,,,,,,,,,,,,,,,,,,
19,570,MILANO,FUCHSIA,8XL,1,,,,,,,,,,,,,,,,,,,,,,
19,BZ570,MILANO,FUCHSIA,10,1,,,,,,,,,,,,,,,,,,,,,,
19,BZ570,MILANO,FUCHSIA,4XL,4,,,,,,,,,,,,,,,,,,,,,,
19,E1799,,FUCHSIA,8,6,,,,,,,,,,,,,,,,,,,,,,
20,E1582,,FUCHSIA,4,1,,,,,,,,,,,,,,,,,,,,,,
20,B1799,,GREEN,4,1,,,,,,,,,,,,,,,,,,,,,,
20,E1582,,GREEN,4,1,,,,,,,,,,,,,,,,,,,,,,
20,E2526,,GREEN,8,1,,,,,,,,,,,,,,,,,,,,,,
20,E2602,,MINT,2,1,,,,,,,,,,,,,,,,,,,,,,
20,E2602,,MINT,6,1,,,,,,,,,,,,,,,,,,,,,,
20,1582,,TEAL,4,5,,,,,,,,,,,,,,,,,,,,,,
20,1582,,TEAL,6,1,,,,,,,,,,,,,,,,,,,,,,
20,E2023,,TIFFANY,2,1,,,,$219.00,,,,,,,,,,,,,,,,,,
21,B8808,,IVORY/NAVY,S,3,,,,,,,,,,,,,,,,,,,,,,
21,B8808,,IVORY/NAVY,L,2,,,,,,,,,,,,,,,,,,,,,,
21,B8808,,IVORY/NAVY,XL,2,,,,,,,,,,,,,,,,,,,,,,
21,E2560,,NAVY,14,1,,,,,,,,,,,,,,,,,,,,,,
21,E2101,,WINE,2,1,,,,,,,,,,,,,,,,,,,,,,
21,E2101,,WINE,4,1,,,,,,,,,,,,,,,,,,,,,,
21,E2101,,WINE,8,2,,,,,,,,,,,,,,,,,,,,,,
21,E2101,,WINE,10,1,,,,,,,,,,,,,,,,,,,,,,
21,E2101,,WINE,12,3,,,,,,,,,,,,,,,,,,,,,,
21,E2101,,WINE,14,1,,,,,,,,,,,,,,,,,,,,,,
21,E2101,,WINE,16,2,,,,,,,,,,,,,,,,,,,,,,
21,E2101,,WINE,18,3,,,,,,,,,,,,,,,,,,,,,,
22,570,MILANO,BANANA YELLOW,3XL,1,,,,,,,,,,,,,,,,,,,,,,
22,570,MILANO,BANANA YELLOW,4XL,13,,,,,,,,,,,,,,,,,,,,,,
22,570,MILANO,BANANA YELLOW,5XL,45,,,,,,,,,,,,,,,,,,,,,,
22,570,MILANO,BANANA YELLOW,8XL,4,,,,,,,,,,,,,,,,,,,,,,
23,E2602,,BLACK,4,3,,,,,,,,,,,,,,,,,,,,,,
23,E2602,,BLACK,6,1,,,,,,,,,,,,,,,,,,,,,,
23,E2602,,BLACK,8,4,,,,,,,,,,,,,,,,,,,,,,
23,E1260,,JADE,M,1,,,,,,,,,,,,,,,,,,,,,,
23,570,MILANO,NAVY,8XL,1,,,,,,,,,,,,,,,,,,,,,,
23,E1379,,PEACOCK,8,1,,,,,,,,,,,,,,,,,,,,,,
