Handle,Title,Body (HTML),Description,Vendor,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Image Src,Variant Inventory Tracker
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,22,Color,TRUFFLE,B8865_TRUFFLE_22,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,24,Color,TRUFFLE,B8865_TRUFFLE_24,3.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,26,Color,TRUFFLE,B8865_TRUFFLE_26,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,28,Color,TRUFFLE,B8865_TRUFFLE_28,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,30,Color,TRUFFLE,B8865_TRUFFLE_30,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,34,Color,TRUFFLE,B8865_TRUFFLE_34,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,4,Color,TRUFFLE,B8865_TRUFFLE_4,7.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,6,Color,TRUFFLE,B8865_TRUFFLE_6,5.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,8,Color,TRUFFLE,B8865_TRUFFLE_8,16.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,L,Color,TRUFFLE,B8865_TRUFFLE_L,6.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,S,Color,TRUFFLE,B8865_TRUFFLE_S,13.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,10,Color,WHITE,B8865_WHITE_10,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,12,Color,WHITE,B8865_WHITE_12,7.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,16,Color,WHITE,B8865_WHITE_16,3.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,2,Color,WHITE,B8865_WHITE_2,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,20,Color,WHITE,B8865_WHITE_20,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,24,Color,WHITE,B8865_WHITE_24,3.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,28,Color,WHITE,B8865_WHITE_28,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,32,Color,WHITE,B8865_WHITE_32,3.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,34,Color,WHITE,B8865_WHITE_34,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,36,Color,WHITE,B8865_WHITE_36,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,4,Color,WHITE,B8865_WHITE_4,4.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,40,Color,WHITE,B8865_WHITE_40,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,6,Color,WHITE,B8865_WHITE_6,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,8,Color,WHITE,B8865_WHITE_8,7.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify
b8998,B8998 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Chiffon,This Bridesmaid dress has a Zipper closure. The main fabric is Chiffon,Milano Formals,Dress,Size,10,Color,APPLE RED,B8998_APPLE RED_10,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8998___Sangria__3__1.jpg,shopify
b8998,B8998 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Chiffon,This Bridesmaid dress has a Zipper closure. The main fabric is Chiffon,Milano Formals,Dress,Size,24,Color,APPLE RED,B8998_APPLE RED_24,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8998___Sangria__3__1.jpg,shopify
b8998,B8998 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Chiffon,This Bridesmaid dress has a Zipper closure. The main fabric is Chiffon,Milano Formals,Dress,Size,4,Color,APPLE RED,B8998_APPLE RED_4,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8998___Sangria__3__1.jpg,shopify
