STYLE NO.,COLOR,QUANTITY
E1503,Skyblue,5.0
E1507,Watermelon,4.0
E1508,Nude,1.0
E1510,White,19.0
E1510,Whiteblue,3.0
E1513,Coral,7.0
E1520,Burntorange,77.0
E1520,Sangria,18.0
E1524,Teal,11.0
E1531,Coral,45.0
E1531,Pool,30.0
E1531,Purple,45.0
E1537,Black,3.0
E1538,Sage,13.0
E1540,Bluepink,2.0
E1544,Red,31.0
E1544,Black,35.0
E1546,Peach,1.0
E1546,Purple,7.0
E1546,Black,18.0
E1546,Coral,21.0
E1548,Pink,1.0
E1552,Black,10.0
E1573,Black,25.0
E1573,Burgundy,1.0
E1573,Coral,3.0
E1573,Peach,7.0
E1573,Purple,14.0
E1573,Royal,1.0
E1573,Skyblue,1.0
E1573,Teal,1.0
E1579,White,8.0
E1581,Red,21.0
E1581,Purple,24.0
E1581,Claret,1.0
E1581,Black,9.0
E1582,Burgundy,3.0
E1582,Fuchsia,60.0
E1582,Green,1.0
E1582,Purple,11.0
E1582,Teal,98.0
E1583,Teal,2.0
E1586,Purple,1.0
E1591,Purple,7.0
E1593,Pool,6.0
E1596,Purple,7.0
E1605,Purple,24.0
E1636,Black,1.0
E1637,Blacknude,1.0
E1637,Black,2.0
E1655,Fuchsia,1.0
E1656,Lavender,1.0
E1657,Black,48.0
E1657,Lavender,3.0
E1657,Teal,55.0
E1663,Fuchsia,22.0
E1663,Navy,31.0
E1663,Purple,28.0
E1672,Royal,9.0
E1672,Skyblue,43.0
E1676,Bluefuchsia,1.0
E1676,Bluepink,24.0
E1683,White,1.0
E1685,Fuchsia,10.0
E1694,Teal,1.0
E1696,Black,72.0
E1696,Bluepink,2.0
E1696,Coral,41.0
E1696,Red,3.0
E1696,Royal,21.0
E1696,Teal,1.0
E1697,Teal,1.0
E1698,Coral,2.0
E1715,Skyblue,5.0
E1716,Purple,1.0
E1729,Mint,30.0
E1729,Ivory,30.0
E1729,Pink,2.0
E1729,Banana,1.0
E1729,Fuchsia,41.0
E1729,Print,3.0
E1730,Royal,9.0
E1730,Charcoal,39.0
E1730,Burntorange,33.0
E1730,Blue,5.0
E1745,Turquoisegreen,12.0
E1753,Turquoise,1.0
E1761,Red,1.0
E1762,Purple,27.0
E1767,Black,1.0
E1767,Blacksilver,2.0
E1774,Powderblue,1.0
E1778,Navy,3.0
E1786,Purple,1.0
E1795,Biscotti,6.0
E1795,Ivory,1.0
E1795,Navy,8.0
E1796,Navy,25.0
E1796,Lavender,2.0
E1796,Black,13.0
E1796,Biscotti,41.0
E1796,Ivory,1.0
E1799,Fuchsia,8.0
E1799,Green,1.0
E1799,Grey,1.0
E1799,Lilac,68.0
E1799,Teal,47.0
E1809,Orange,19.0
E1822,Ivory,7.0
E1822,Peach,40.0
E1824,Pool,2.0
E1827,Black,16.0
E1829,Black,6.0
E1831,Red,1.0
E1833,Purplegold,2.0
E1838,Black,3.0
E1838,Teal,19.0
E1844,Mint,2.0
E1849,Black,2.0
E1852,Burgundy,5.0
E1852,Charcoal,10.0
E1852,Fuchsia,1.0
E1852,Pink,11.0
E1852,Red,2.0
E1855,Navy,1.0
E1857,Navy,1.0
E1861,Red,1.0
E1868,Champagne,5.0
E1875,Black,17.0
E1877,Navy,2.0
E1879,Purple,9.0
E1882,Royal,1.0
E1885,Navy,1.0
E1890,Black,13.0
E1891,Purple,25.0
E1892,Navynude,1.0
E1892,Nudeivory,1.0
E1893,Black,13.0
E1895,Black,6.0
E1896,Poolwhite,20.0
E1904,Black,6.0
E1907,Charcoal,1.0
E1908,Skyblue,36.0
E1909,Grey,3.0
E1909,Skyblue,1.0
E1909,Green,1.0
E1910,Skyblue,1.0
E1911,Navy,53.0
E1918,Bottlegreen,2.0
E1918,Green,22.0
E1923,Navy,1.0
E1930,Black,4.0
E1931,Navy,37.0
E1937,Black,5.0
E1939,Teal,3.0
E1940,Gunmetal,2.0
E1942,Royal,37.0
E1946,Navy,4.0
E1947,Royal,5.0
E1948,Black,1.0
E1950,Black,3.0
E1954,Plum,16.0
E1965,Sangria,4.0
E1967,Teal,6.0
E1968,Black,2.0
E1974,Mint,2.0
E1978,Gunmetal,1.0
E1979,Midnight,1.0
E1981,Black,2.0
E1981,Royal,1.0
E1982,Charcoal,1.0
E1983,Mint,11.0
E1984,,5.0
E1986,Pool,15.0
E1988,Royalblue,7.0
E1988,Royal,2.0
E2003,Blue,1.0
E2016,Red,1.0
E2016,Royal,2.0
E2018,Green,6.0
E2018,Peacock,4.0
E2018,Peacockgreen,6.0
E2019,Blue,5.0
E2020,Pool,3.0
E2021,Wine,6.0
E2023,Tiffany,1.0
E2023,Turquoise,4.0
E2025,Wine,1.0
E2027,Wine,37.0
E2028,Jetcobalt,3.0
E2028,Black,1.0
E2030,Fuchsia,13.0
E2031,Black,8.0
E2032,Teal,1.0
E2034,Berry,12.0
E2035,Blackgunmetal,1.0
E2035,Jet,6.0
E2036,Emerald,1.0
E2036,Green,7.0
E2039,Powderblue,3.0
E2040,Midnight,2.0
E2041,Ivory,9.0
E2042,Burgundy,2.0
E2042,Wine,18.0
E2043,Rosequartz,1.0
E2043,Coral,1.0
E2046,White,2.0
E2046,Navy,8.0
E2046,Rose,13.0
E2048,Navy,2.0
E2049,Platinum,11.0
E2050,Blueblack,6.0
E2053,Navy,10.0
E2053,Peacock,2.0
E2053,Teal,4.0
E2057,Blush,1.0
E2059,Royal,17.0
E2060,Midnight,21.0
E2061,Black,19.0
E2067,Blackburgundy,12.0
E2068,Floralprint,1.0
E2068,Midnight,2.0
E2069,Red,1.0
E2070,Apricot,3.0
E2070,Peach,1.0
E2072,Black,8.0
E2073,Blue,1.0
E2074,Navy,1.0
E2075,Midnight,22.0
E2076,Midnight,5.0
E2076,Navy,2.0
E2076,Wine,2.0
E2078,Burgundy,5.0
E2079,Navy,3.0
E2080,Black,20.0
E2080,Cobalt,1.0
E2081,Navy,31.0
E2082,Black,12.0
E2084,Black,15.0
E2085,Charcoal,1.0
E2086,Brown,1.0
E2086,Burgundy,1.0
E2086,Wine,1.0
E2087,Dirtyrose,12.0
E2087,Rose,1.0
E2087,Rosequartz,7.0
E2088,Black,3.0
E2088,Burgundy,21.0
E2088,Dustyrose,1.0
E2088,White,1.0
E2088,Wine,7.0
E2096,Whiteblack,3.0
E2097,Mint,3.0
E2100,Midnight,7.0
E2101,Wine,21.0
E2102,Black,5.0
E2104,Black,8.0
E2106,Babyblue,33.0
E2106,Skyblue,22.0
E2107,Lavender,42.0
E2107,Navy,16.0
E2109,Red,1.0
E2110,Black,4.0
E2111,Mint,1.0
E2114,Royal,12.0
E2114,Royalblue,14.0
E2118,Fuchsia,8.0
E2121,Midnight,1.0
E2125,Navy,1.0
E2126,Black,26.0
E2128,Champagne,1.0
E2136,Black,15.0
E2136,Navy,9.0
E2142,Purple,13.0
E2144,Mint,10.0
E2148,Purple,1.0
E2150,Black,2.0
E2152,Red,1.0
E2158,Gold,6.0
E2158,Ivory,11.0
E2158,Silver,3.0
E2160,Whiteprint,3.0
E2160,Skyblue,12.0
E2160,Royal,1.0
E2160,Fuchsia,3.0
E2161,Red,2.0
E2162,Rainbow,12.0
E2165,Fuchsia,9.0
E2171,Blue,2.0
E2171,Lightblue,24.0
E2171,Skyblue,8.0
E2180,Wine,1.0
E2182,Navy,3.0
E2196,Red,1.0
E2204,Black,1.0
E2210,Silver,16.0
E2213,Navy,1.0
E2225,Blackgreen,24.0
E2225,Black,1.0
E2227,Fuchsia,39.0
E2229,Ivory,6.0
E2231,Blue,1.0
E2233,Gold,2.0
E2233,White,3.0
E2241,Black,15.0
E2241,Ivory,13.0
E2243,Blackred,20.0
E2243,Redblack,1.0
E2244,Black,11.0
E2245,Blackgreen,25.0
E2246,Gold,1.0
E2251,Red,8.0
E2251,Charcoal,3.0
E2252,Purple,32.0
E2253,Print,1.0
E2253,Red,44.0
E2254,Navy,3.0
E2255,Fuchsia,26.0
E2256,Black,1.0
E2256,Royal,2.0
E2257,Wine,6.0
E2258,Charcoal,4.0
E2259,Wine,7.0
E2262,Black,7.0
E2267,Royalblue,1.0
E2269,Nude,9.0
E2275,Royal,8.0
E2276,Gold,1.0
E2279,Burgundy,4.0
E2280,Pink,6.0
E2281,Purple,31.0
E2282,Yellow,9.0
E2287,Coral,1.0
E2289,Lavender,1.0
E2289,Purple,2.0
E2291,Blackgold,21.0
E2292,Red,8.0
E2296,Greenpurple,2.0
E2301,Black,2.0
E2301,Grey,1.0
E2317,Navy,4.0
E2318,Blue,6.0
E2320,Multi,2.0
E2322,Peal,1.0
E2322,Teal,10.0
E2322,Blush,18.0
E2324,Pink,10.0
E2326,Blackred,1.0
E2327,Blackred,2.0
E2327,Red,1.0
E2327,Redblack,7.0
E2328,Black,4.0
E2329,Black,9.0
E2331,Red,7.0
E2333,Navy,4.0
E2334,Print,1.0
E2335,Royal,9.0
E2336,Rose,7.0
E2340,Rose,2.0
E2344,Blacknude,13.0
E2346,Gold,4.0
E2356,Blackprint,1.0
E2360,Purpleprint,4.0
E2366,Blackgold,18.0
E2385,Goldblack,13.0
E2388,Blackgreen,1.0
E2389,Purple,5.0
E2394,Ivoryprint,3.0
E2395,Red,3.0
E24,,1.0
E2401,Nudeivory,1.0
E2403,Black,17.0
E2403,Silver,5.0
E2405,Black,6.0
E2410,Nudeivory,1.0
E2410,Nudeivy,2.0
E2410,Mud,1.0
E2416,Nude,1.0
E2423,Whiteblue,1.0
E2426,Navy,9.0
E2428,Navy,4.0
E2430,White,1.0
E2430,Whiteblack,1.0
E2430,Whiteblue,6.0
E2431,Red,14.0
E2433,Blackprint,4.0
E2434,Redprint,1.0
E2436,Black,1.0
E2436,Blackprint,7.0
E2436,Brown,1.0
E2437,Navyprint,20.0
E2441,Ivory,1.0
E2443,Green,1.0
E2448,Apricot,1.0
E2449,Green,10.0
E2449,Ivory,3.0
E2460,Black,5.0
E2463,Blackprint,2.0
E2493,Aqua,2.0
E2493,Lavender,5.0
E2493,Peach,8.0
E2494,Pink,9.0
E2494,Sangria,6.0
E2495,Pink,6.0
E2495,Skyblue,7.0
E2496,Peach,7.0
E2496,Skyblue,17.0
E2497,Mint,3.0
E2497,Blush,2.0
E2498,Blue,4.0
E2498,Blush,7.0
E2498,Teal,1.0
E2500,Blush,3.0
E2501,Blush,9.0
E2501,Lavender,10.0
E2501,Mint,1.0
E2503,Skyblue,6.0
E2509,Burgundy,7.0
E2509,Red,6.0
E2510,Ivory,3.0
E2511,Blue,5.0
E2511,Navy,1.0
E2513,Red,19.0
E2514,Emerald,14.0
E2514,Claret,1.0
E2517,Champagne,1.0
E252,Green,1.0
E2520,Aqua,1.0
E2520,Green,1.0
E2524,Cherry,16.0
E2524,Green,3.0
E2524,Mauve,0.0
E2526,Green,24.0
E2527,Black,16.0
E2531,Royal,4.0
E2531,Royalblue,9.0
E2532,Print,11.0
E2534,Blue,1.0
E2535,Burgundy,6.0
E2537,Ivory,1.0
E2540,Teal,26.0
E2543,Black,20.0
E2544,Red,20.0
E2545,Green,38.0
E2547,Black,1.0
E2547,Royal,19.0
E2547,Royalblue,4.0
E2548,Purple,1.0
E2549,Blackgreen,14.0
E2550,Red,33.0
E2551,Red,11.0
E2553,Red,35.0
E2554,Gold,29.0
E2557,Navy,33.0
E2560,Navy,24.0
E2561,Navy,1.0
E2568,Aqua,7.0
E2570,Burgundy,7.0
E2570,Skyblue,2.0
E2572,Black,2.0
E2573,Turquoise,10.0
E2574,Black,22.0
E2578,Black,31.0
E2584,Black,2.0
E2587,Black,3.0
E2589,Black,9.0
E2590,Rose,24.0
E2593,Navy,1.0
E2599,Red,40.0
E2600,Royal,9.0
E2600,Red,10.0
E2601,Emerald,27.0
E2601,Navy,10.0
E2602,Black,22.0
E2602,Mint,9.0
E2603,Black,1.0
E2604,Black,1.0
E2605,Mint,3.0
E2606,Mint,5.0
E2607,Mint,1.0
E2608,Mint,1.0
E2610,Champagne,2.0
E2613,Mauve,7.0
E2614,Navy,1.0
E2615,Claret,10.0
E2619,Navy,1.0
E2701,Rose,23.0
E2705,Gold,1.0
E2708,Black,16.0
E2708,Blackprint,1.0
E2708,Navy,11.0
E2717,Champagne,2.0
E2752,Green,25.0
E2753,Skyblue,1.0
E2753,Turquoise,8.0
E2754,Navy,10.0
E2755,Peach,16.0
E2757,Red,1.0
E2764,Royal,4.0
E2767,Wine,6.0
E2768,Royal,1.0
E2768,Navy,4.0
E2769,Royal,1.0
E2770,Red,14.0
E2771,Ivorynude,5.0
E2771,Teal,13.0
E2772,Royal,1.0
E2773,Lightgold,14.0
E2774,Black,17.0
E2774,Ivory,1.0
E2775,Royal,11.0
E2778,Blue,2.0
E2778,Blush,2.0
E2779,Pink,1.0
E2780,Royal,2.0
E2781,Yellow,1.0
E2781,Royal,6.0
E2781,Red,12.0
E2785,Gold,9.0
E2786,Purple,29.0
E2787,Navy,9.0
E5105,Black,2.0
F1116,White,3.0
F1116,Truffle,26.0
F1116,Skyblue,61.0
F1116,Silver,19.0
F1116,Sage,1.0
F1116,Royal,17.0
F1116,Purple,8.0
F1116,Pool,2.0
F1116,Pink,34.0
F1116,Navy,41.0
F1116,Lilac,66.0
F1116,Red,95.0
F1116,Ivory,18.0
F1116,Lavender,19.0
F1116,Applered,34.0
F1116,Banana,52.0
F1116,Black,30.0
F1116,Burgundy,40.0
F1116,Banana(Flower),6.0
F1116,Coral,49.0
F1116,Fuchsia,29.0
F1116,Gold,46.0
F1116,Champagne,3.0
F570,Perri,172.0
F570,Red,129.0
F570,Pink,199.0
F570,Pool,7.0
F570,Purple,56.0
F570,Royal,74.0
F570,Truffle,88.0
F570,Sage,128.0
F570,Silver,67.0
F570,Skyblue,256.0
F570,Teal,1.0
F570,Turquoise,44.0
F570,Periwinkle,46.0
F570,Royalblue,45.0
F570,Peach,88.0
F570,Banana,156.0
F570,Mint,2.0
F570,,2.0
F570,Applered,43.0
F570,Victorialilac,43.0
F570,Bananayellow,79.0
F570,Black,12.0
F570,Burgundy,111.0
F570,Navy,123.0
F570,Champagne,104.0
F570,Darkgreen,2.0
F570,Fuchsia,162.0
F570,Green,2.0
F570,Ivory,16.0
F570,Lavender,114.0
F570,Lilac,277.0
F570,Coral,101.0
F570,White,192.0
