Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Box (product.metafields.custom.box),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Display technology (product.metafields.shopify.display-technology),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Test format (product.metafields.shopify.test-format),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
f1116,,,,,,,,,BURGUNDY,,,24.0,,,,,F1116_BURGUNDY_24,0.0,shopify,2,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,BURGUNDY,,,26.0,,,,,F1116_BURGUNDY_26,0.0,shopify,3,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,BURGUNDY,,,38.0,,,,,F1116_BURGUNDY_38,0.0,shopify,9,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,BURGUNDY,,,40.0,,,,,F1116_BURGUNDY_40,0.0,shopify,3,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,CHAMPAGNE,,,40.0,,,,,F1116_CHAMPAGNE_40,0.0,shopify,3,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,CORAL,,,30.0,,,,,F1116_CORAL_30,0.0,shopify,2,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,CORAL,,,34.0,,,,,F1116_CORAL_34,0.0,shopify,9,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,CORAL,,,38.0,,,,,F1116_CORAL_38,0.0,shopify,18,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,CORAL,,,40.0,,,,,F1116_CORAL_40,0.0,shopify,20,deny,manual,497.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,FUCHSIA,,,4.0,,,,,F1116_FUCHSIA_4,0.0,shopify,8,deny,manual,497.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,FUCHSIA,,,8.0,,,,,F1116_FUCHSIA_8,0.0,shopify,2,deny,manual,497.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,FUCHSIA,,,34.0,,,,,F1116_FUCHSIA_34,0.0,shopify,2,deny,manual,497.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,FUCHSIA,,,38.0,,,,,F1116_FUCHSIA_38,0.0,shopify,9,deny,manual,497.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,FUCHSIA,,,40.0,,,,,F1116_FUCHSIA_40,0.0,shopify,8,deny,manual,497.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,GOLD,,,2.0,,,,,F1116_GOLD_2,0.0,shopify,2,deny,manual,497.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,GOLD,,,12.0,,,,,F1116_GOLD_12,0.0,shopify,3,deny,manual,497.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,GOLD,,,14.0,,,,,F1116_GOLD_14,0.0,shopify,1,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,GOLD,,,22.0,,,,,F1116_GOLD_22,0.0,shopify,2,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,GOLD,,,34.0,,,,,F1116_GOLD_34,0.0,shopify,21,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,GOLD,,,38.0,,,,,F1116_GOLD_38,0.0,shopify,6,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,GOLD,,,40.0,,,,,F1116_GOLD_40,0.0,shopify,11,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,IVORY,,,2.0,,,,,F1116_IVORY_2,0.0,shopify,4,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,IVORY,,,4.0,,,,,F1116_IVORY_4,0.0,shopify,3,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,IVORY,,,8.0,,,,,F1116_IVORY_8,0.0,shopify,9,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,IVORY,,,16.0,,,,,F1116_IVORY_16,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,IVORY,,,18.0,,,,,F1116_IVORY_18,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LAVENDER,,,34.0,,,,,F1116_LAVENDER_34,0.0,shopify,18,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LAVENDER,,,38.0,,,,,F1116_LAVENDER_38,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,2.0,,,,,F1116_LILAC_2,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,4.0,,,,,F1116_LILAC_4,0.0,shopify,6,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,6.0,,,,,F1116_LILAC_6,0.0,shopify,6,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,8.0,,,,,F1116_LILAC_8,0.0,shopify,10,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,12.0,,,,,F1116_LILAC_12,0.0,shopify,10,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,14.0,,,,,F1116_LILAC_14,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,18.0,,,,,F1116_LILAC_18,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,20.0,,,,,F1116_LILAC_20,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,22.0,,,,,F1116_LILAC_22,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,26.0,,,,,F1116_LILAC_26,0.0,shopify,6,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,34.0,,,,,F1116_LILAC_34,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,38.0,,,,,F1116_LILAC_38,0.0,shopify,5,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,LILAC,,,40.0,,,,,F1116_LILAC_40,0.0,shopify,17,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
