Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Box (product.metafields.custom.box),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Display technology (product.metafields.shopify.display-technology),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Test format (product.metafields.shopify.test-format),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
f1116,,,,,,,,,NAVY,,,8.0,,,,,F1116_NAVY_8,0.0,shopify,24,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,NAVY,,,10.0,,,,,F1116_NAVY_10,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,NAVY,,,14.0,,,,,F1116_NAVY_14,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,NAVY,,,30.0,,,,,F1116_NAVY_30,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,NAVY,,,34.0,,,,,F1116_NAVY_34,0.0,shopify,4,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,NAVY,,,38.0,,,,,F1116_NAVY_38,0.0,shopify,5,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,NAVY,,,40.0,,,,,F1116_NAVY_40,0.0,shopify,5,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,PINK,,,14.0,,,,,F1116_PINK_14,0.0,shopify,2,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,PINK,,,34.0,,,,,F1116_PINK_34,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,PINK,,,38.0,,,,,F1116_PINK_38,0.0,shopify,17,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,PINK,,,40.0,,,,,F1116_PINK_40,0.0,shopify,14,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,POOL,,,12.0,,,,,F1116_POOL_12,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,POOL,,,26.0,,,,,F1116_POOL_26,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,PURPLE,,,8.0,,,,,F1116_PURPLE_8,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,PURPLE,,,12.0,,,,,F1116_PURPLE_12,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,PURPLE,,,14.0,,,,,F1116_PURPLE_14,0.0,shopify,2,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,PURPLE,,,26.0,,,,,F1116_PURPLE_26,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
